id,question,rewritten_question,context,answer,strategy
30,Did Lincoln win the election of 1860?,Did Lincoln win the election of 1860?,"On November 6, 1860, Lincoln was elected as the 16th President of the United States, beating Democrat Stephen A. Douglas, John C. Breckinridge of the Southern Democrats, and John Bell of the new Constitutional Union Party. He was the first Republican president, winning entirely on the strength of his support in the North: he was not even on the ballot in nine states in the South, and won only 2 of 996 counties in the other Southern states. Lincoln gained 1,865,908 votes (39.9% of the total), for 180 electoral votes; Douglas, 1,380,202 (29.5%) for 12 electoral votes; Breckenridge, 848,019 (18.1%) for 72 electoral votes; and Bell, 590,901 (12.5%) for 39 electoral votes. There were fusion tickets in some states, but even if his opponents had combined in every state, Lincoln had a majority vote in all but two of the states in which he won the electoral votes and would still have won the electoral college and the election.","Lincoln gained 1,865,908 votes (39.9% of the total), for 180 electoral votes; Douglas, 1,380,202 (29.5%) for 12 electoral votes; Breckenridge, 848,019 (18.1%) for 72 electoral votes; and Bell, 590,901 (12.5%) for 39 electoral votes. There were fusion tickets in some states, but even if his opponents had combined in every state, Lincoln had a majority vote in all but two of the states in which he won the electoral votes and would still have won the electoral college and the election.",384d_enhanced_top1
32,Who was the general in charge at the Battle of Antietam?,Who was the general in charge at the Battle of Antietam?,"Panicked by Lee's invasion of Maryland, Lincoln restored McClellan to command of all forces around Washington in time for the Battle of Antietam (September 1862). The ensuing Union victory enabled Lincoln to release his Emancipation Proclamation, but he relieved McClellan of his command shortly after the 1862 midterm elections and appointed Republican Ambrose Burnside to head the Army of the Potomac. Burnside had promised to follow through on Lincoln's strategic vision for a strong offensive against Lee and Richmond. After Burnside was stunningly defeated at Fredericksburg, Joseph Hooker was given the command, despite his idle talk about the necessity for a military dictator to win the war and a past history of criticizing his commanders.  Joseph Hooker biography  Hooker was routed by Lee at the Battle of Chancellorsville (May 1863), and relieved of command early in the subsequent Gettysburg Campaign replaced by George Meade.",McClellan,384d_enhanced_top1
34,Why did Lincoln issue the Emancipation Proclamation?,Why did Lincoln issue the Emancipation Proclamation?,"The Emancipation Proclamation, announced on September 22 and put into effect on January 1, 1863, freed slaves in territories not under Union control. As Union armies advanced south, more slaves were liberated until all of them in Confederate hands (over three million) were freed. Lincoln later said: ""I never, in my life, felt more certain that I was doing right, than I do in signing this paper."" The proclamation made the abolition of slavery in the rebel states an official war goal. Lincoln then threw his energies into passage of the Thirteenth Amendment to permanently abolish slavery throughout the nation. Lincoln addressed the issue of his consistency in an 1864 letter to Albert G. Hodges.  Letter to Albert G. Hodges, April 4, 1864",freed slaves in territories not under Union control,384d_enhanced_top1
37,Do scholars rank lincoln among the top three presidents?,What are the top three presidents of the 20th century?,"Historian Thomas Bailey, who disagreed with Roosevelt's policies, nevertheless concluded, ""Roosevelt was a great personality, a great activist, a great preacher of the moralities, a great controversialist, a great showman. He dominated his era as he dominated conversations....the masses loved him; he proved to be a great popular idol and a great vote getter.""    His image stands alongside Washington, Jefferson and Lincoln on Mount Rushmore.  Surveys of scholars have consistently ranked him from #3 to #7 on the list of greatest American presidents.",Jefferson,384d_enhanced_top1
39,Did lincoln have 18 months of schooling?,Did Lincoln have more than 18 months of schooling?,"Lincoln's formal education consisted of about 18 months of schooling. Largely self-educated, he read every book he could get his hands on, once walking.  just to borrow one  While his favorite book was The Life of George Washington, Lincoln mastered the Bible, Shakespeare, and English and American history, and developed a plain writing style that puzzled audiences more used to grandiose rhetoric. He was also a talented local wrestler and skilled with an ax; some rails he had allegedly split in his youth were exhibited at the 1860 Republican National Convention, as the party celebrated the poor-boy-made-good theme. Lincoln avoided hunting and fishing because he did not like killing animals, even for food. Though he was unusually tall at  , 4 inches and strong, Lincoln spent so much time reading that some neighbors suspected he must be doing it to avoid strenuous manual labor.",Yes,384d_enhanced_top1
41,Was Lincoln chosen as a presidential candidate in 1860?,In what year did Lincoln become the first African-American president?,Young Abraham Lincoln,1865,384d_enhanced_top1
43,How old was Lincoln in 1816?,How old was Lincoln in 1816?,Young Abraham Lincoln,18,384d_enhanced_top1
45,When was the first photgraph of lincoln taken?,When was the first photgraph of Lincoln taken?,"The first photograph ever taken of Abraham Lincoln, a daguerreotype taken by Shepherd in 1846.",1846,384d_enhanced_top1
47,How long was Lincoln's legal Career?,How long was Lincoln's legal career?,"In 1834, he won election to the state legislature, and after coming across the Commentaries on the Laws of England, began to teach himself law. Admitted to the bar in 1837, he moved to Springfield, Illinois, that same year and began to practice law with John T. Stuart. With a reputation as a formidable adversary during cross-examinations and in his closing arguments, Lincoln became one of the most respected and successful lawyers in Illinois and grew steadily more prosperous.",1837,384d_enhanced_top1
49,What trail did Lincoln use a Farmers' Almanac in? ,What trail did Lincoln use a Farmers' Almanac in?,"For several months, Lincoln ran a small store in New Salem, selling tea, coffee, sugar, salt, blue calico, brown muslin, straw hats and whiskey.  Beveridge (1928) 1:127-8  Later, he found work as village postmaster and as a surveyor.",New Salem,384d_enhanced_top1
51,Did Abraham Lincoln live in the Frontier?,Abraham Lincoln was born in what state?,Young Abraham Lincoln,New York,384d_enhanced_top1
53,Did Lincoln's Wife's Family support slavery?,Lincoln's Wife's family supported slavery.,"On November 4 1842 Lincoln married Mary Todd, daughter of a prominent slave-owning family from Kentucky. The couple had four sons. Robert Todd Lincoln was born in Springfield, Illinois on 1 August, 1843. Their only child to survive into adulthood, young Robert attended Phillips Exeter Academy and Harvard College. Robert died on July 26, 1926, in Manchester, Vermont.",Yes,384d_enhanced_top1
80,Who is most noted for his contributions to the theory of molarity and molecular weight?,Who is most noted for his contributions to the theory of molarity and molecular weight?,"Lorenzo Romano Amedeo Carlo Avogadro, Count of Quaregna and Cerreto (August 9, 1776 July 9, 1856) was an Italian savant.  He is most noted for his contributions to the theory of molarity and molecular weight. As a tribute to him, the number of elementary entities (atoms, molecules, ions or other particles) in one mole of a substance, 6.02214199x10 23 , is known as Avogadro's number.",Lorenzo Romano Amedeo Carlo Avogadro,384d_enhanced_top1
83,Who graduated in ecclesiastical law at the early age of 20 and began to practice?,Who graduated in ecclesiastical law at the early age of 20 and began to practice?,He graduated in ecclesiastical law at  the early age of 20 and began to practice.,He,384d_enhanced_top1
86,When did he publish another memoria?,When did he publish another memoria?,"In 1821 he published another memoria, Nouvelles considérations sur la théorie des proportions déterminées dans les combinaisons, et sur la détermination des masses des molécules des corps and little after Mémoire sur la manière de ramener les composès organiques aux lois ordinaires des proportions déterminées.",1821,384d_enhanced_top1
89,When did he become a professor?,When did he become a professor?,"He was elected a member of the Royal Society in 1824, appointed director of the laboratory in 1825; and in 1833 he was appointed Fullerian professor of chemistry in the institution for life, without the obligation to deliver lectures.",1833,384d_enhanced_top1
92,Is it true that he became a professor in 1820?,Is it true that he became a professor in 1820?,"He was active in the political revolutionary movements of 1821 against the king of Sardinia, and as a result, was removed from his chair in 1823 (or, as officially declared, the university was ""very glad to allow this interesting scientist to take a rest from heavy teaching duties, in order to be able to give a better attention to his researches"") .",no,384d_enhanced_top1
95,Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?,Lorenzo Romano Amedeo Carlo Avogadro was an Italian savant.,"Lorenzo Romano Amedeo Carlo Avogadro, Count of Quaregna and Cerreto (August 9, 1776 July 9, 1856) was an Italian savant.  He is most noted for his contributions to the theory of molarity and molecular weight. As a tribute to him, the number of elementary entities (atoms, molecules, ions or other particles) in one mole of a substance, 6.02214199x10 23 , is known as Avogadro's number.",yes,384d_enhanced_top1
98,"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?",Amedeo Avogadro was born in what city?,"Amedeo Avogadro was born in Turin August 9th 1776 to a noble ancient family of Piedmont,  Italy.",Turin,384d_enhanced_top1
101,Is he most noted for his contributions to the theory of molarity and molecular weight?,Is he most noted for his contributions to the theory of molarity and molecular weight?,"Clausius, by his kinetic theory on gases, was able to give another confirmation of Avogadro's law. Not long after, in his researches regarding dilute solutions (and the consequent discovery of analogies between the behaviour of solutions and gases), J. H. van 't Hoff added his final consensus for the triumph of the Italian scientist, who since then has been considered the founder of the atomic-molecular theory.",no,384d_enhanced_top1
115,Was King Victor Emmanuel III there to pay homage to Avogadro ?,Who was King Victor Emmanuel III ?,"In 1911, a historic meeting took place in Turin to commemorate the hundredth anniversary of the publication of Avogadro's classic 1811 memoir. King Victor Emmanuel III was there to pay homage to Avogadro. Thus Avogadro's great contribution to chemistry was recognised and he is recognised as a great Italian chemist. (Note: In 1911, Victor Emmanuel III was the King of a unified Italy with Rome instead or Turin as its capital. The unification of Italy did not happen during the life time of Avogadro. In fact, Avogadro's famous 1811 paper was written in French.)",King of a unified Italy,384d_enhanced_top1
118,Is Avogadro 's number commonly used to compute the results of chemical reactions ?,Is Avogadro 's number commonly used to compute the results of chemical reactions ?,"Loschmidt first calculated the value of Avogadro's number, now called Avogadro's constant, which is still sometimes referred to as the Loschmidt number in German-language countries (Loschmidt constant now has another meaning).  Avogadro's number is commonly used to compute the results of chemical reactions. It allows chemists to determine the exact amounts of substances produced in a given reaction.",Avogadro's number is commonly used to compute the results of chemical reactions,384d_enhanced_top1
123,Did the scientific community not reserve great attention to his theory ?,Did the scientific community reserve great attention to his theory ?,"The theory was never published. At the time of his announcement, it was considered by the scientific establishment to exceed the bounds of reason. Some believe that Tesla never fully developed the Unified Field Theory.",It was considered by the scientific establishment to exceed the bounds of reason.,384d_enhanced_top1
131,Can the title of this famous 1811 paper be roughly translated into english?,Is the title of this famous 1811 paper the same as the title of this famous 1811 paper?,"In 1811, he published an article with the title Essai d'une manière de déterminer les masses relatives des molécules élémentaires des corps, et les proportions selon lesquelles elles entrent dans ces combinaisons, which contains the famous Avogadro's hypothesis. The title of this famous 1811 paper can be roughly translated into English as ""Essay on Determining the Relative Masses of the Elementary Molecules of Bodies"".  (Note: At that time in 1811, northern Italy was actually under French rule during the era of Napoléon Bonaparte. Avogadro submitted his poem to a French journal. This paper was written in French, not in Italian.)",no,384d_enhanced_top1
136,What happened in 1833?,What happened in 1833?,The Resumption of Species Act of 1875 which was signed by Grant and helped to end the crisis in 1879 when the law came in to effect,The Resumption of Species Act of 1875,384d_enhanced_top1
139,Who determined the dependence of the boiling of water with atmospheric pressure?,Who determined the dependence of the boiling of water with atmospheric pressure?,"Anders Celsius was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds. In his Swedish paper ""Observations of two persistent degrees on a thermometer"" he reports on experiments to check that the freezing point is independent of latitude (and of atmospheric pressure). He determined the dependence of the boiling of water with atmospheric pressure (in excellent agreement with modern data). He further gave a rule for the determination of the boiling point if the barometric pressure deviates from a certain standard pressure  History of the Celsius temperature scale .",Anders Celsius,384d_enhanced_top1
140,What is named after him?,What is the name of a place that is named after him?,;Origin and history of the name,St. John's Basilica,384d_enhanced_top1
141,When did he publish a collection?,When did he publish a collection?,"In 1841 he completed and published his work in Fisica dei corpi ponderabili, ossia Trattato della costituzione materiale de' corpi, 4 volumes.",1841,384d_enhanced_top1
142,Is it true that he published a collection in 1738?,Is it true that he published a collection in 1738?,In the 1690s Newton wrote a number of religious tracts dealing with the literal interpretation of the Bible. Henry More's belief in the universe and rejection of Cartesian dualism may have influenced Newton's religious ideas. A manuscript he sent to John Locke in which he disputed the existence of the Trinity was never published. Later works â The Chronology of Ancient Kingdoms Amended (1728) and Observations Upon the Prophecies of Daniel and the Apocalypse of St. John (1733) â were published after his death. He also devoted a great deal of time to alchemy (see above).,no,384d_enhanced_top1
143,Is it true that thermometer had 100 for the freezing point?,Is it true that thermometer had 100 for the freezing point?,"Anders Celsius was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds. In his Swedish paper ""Observations of two persistent degrees on a thermometer"" he reports on experiments to check that the freezing point is independent of latitude (and of atmospheric pressure). He determined the dependence of the boiling of water with atmospheric pressure (in excellent agreement with modern data). He further gave a rule for the determination of the boiling point if the barometric pressure deviates from a certain standard pressure  History of the Celsius temperature scale .",no,384d_enhanced_top1
144,Was Celsius born in Uppsala in Sweden?,Is Celsius born in Sweden or Uppsala?,"Celsius was born in Uppsala in Sweden. He was professor of astronomy at Uppsala University from 1730 to 1744, but traveled from 1732 to 1735 visiting notable observatories in Germany, Italy and France.",Uppsala,384d_enhanced_top1
145,"Was Anders Celsius (November 27, 1701 April 25, 1744) a Swedish astronomer?",Is Anders Celsius a Swedish astronomer or a Swedish physicist?,"Anders Celsius (November 27, 1701   April 25, 1744) was a Swedish astronomer.",Swedish physicist,384d_enhanced_top1
146,Is The Celsius crater on the Moon named after him?,What is the name of the crater on the Moon named after?,The Celsius crater on the Moon is named after him.,Celsius,384d_enhanced_top1
147,Who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?,Who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?,"Anders Celsius was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds. In his Swedish paper ""Observations of two persistent degrees on a thermometer"" he reports on experiments to check that the freezing point is independent of latitude (and of atmospheric pressure). He determined the dependence of the boiling of water with atmospheric pressure (in excellent agreement with modern data). He further gave a rule for the determination of the boiling point if the barometric pressure deviates from a certain standard pressure  History of the Celsius temperature scale .",Anders Celsius,384d_enhanced_top1
148,The Celsius crater on the Moon is what?,What is the largest crater on the Moon?,The Celsius crater on the Moon is named after him.,Celsius,384d_enhanced_top1
149,Is the Celsius crater on the Moon named after him ?,What is the name of the crater on the Moon named after?,The Celsius crater on the Moon is named after him.,Celsius,384d_enhanced_top1
150,Had his thermometer 100 for the freezing point of water and 0 for the boiling point ?,Did he have a thermometer with a freezing point of 100 and a boiling point of 0 ?,"Anders Celsius was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds. In his Swedish paper ""Observations of two persistent degrees on a thermometer"" he reports on experiments to check that the freezing point is independent of latitude (and of atmospheric pressure). He determined the dependence of the boiling of water with atmospheric pressure (in excellent agreement with modern data). He further gave a rule for the determination of the boiling point if the barometric pressure deviates from a certain standard pressure  History of the Celsius temperature scale .",No,384d_enhanced_top1
151,Was Celsius born in Uppsala in Sweden ?,Was Celsius born in Uppsala in Sweden ?,"Celsius was born in Uppsala in Sweden. He was professor of astronomy at Uppsala University from 1730 to 1744, but traveled from 1732 to 1735 visiting notable observatories in Germany, Italy and France.",yes,384d_enhanced_top1
153,Did he not determine the dependence of the boiling of water with atmospheric pressure -LRB- in excellent agreement with modern data -RRB- ?,Is it possible to determine the dependence of the boiling of water with atmospheric pressure -LRB- in excellent agreement with modern data -RRB- ?,"Anders Celsius was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds. In his Swedish paper ""Observations of two persistent degrees on a thermometer"" he reports on experiments to check that the freezing point is independent of latitude (and of atmospheric pressure). He determined the dependence of the boiling of water with atmospheric pressure (in excellent agreement with modern data). He further gave a rule for the determination of the boiling point if the barometric pressure deviates from a certain standard pressure  History of the Celsius temperature scale .",Yes,384d_enhanced_top1
154,What happened from 1730 to 1744?,What happened between 1730 and 1744?,"*Hills, Rev. Dr. Richard L., James Watt, Vol 1, His time in Scotland, 1736-1774 (2002); Vol 2, The years of toil, 1775-1785; Vol 3 Triumph through adversity 1785-1819.  Landmark Publishing Ltd, ISBN 1-84306-045-0.",His time in Scotland,384d_enhanced_top1
155,What happened in 1745?,What happened in 1745?,"*Hills, Rev. Dr. Richard L., James Watt, Vol 1, His time in Scotland, 1736-1774 (2002); Vol 2, The years of toil, 1775-1785; Vol 3 Triumph through adversity 1785-1819.  Landmark Publishing Ltd, ISBN 1-84306-045-0.","Rev. Dr. Richard L., James Watt, Vol 1, His time in Scotland",384d_enhanced_top1
156,Are beetles insects?,Beetles are a type of insect. Beetles are insects. Beetles are insects. Beetles are insects. Beetles are insects. Beetles are insects. Beetles are insects. Beetles are,"Many agricultural, forestry, and household insect pests are beetles. These include the following:",insects,384d_enhanced_top1
158,Can beetles be found in polar regions?,Can beetles be found in polar regions?,"Beetles can be found in almost all habitats, but are not known to occur in the sea or in the polar regions. They interact with their ecosystems in several ways. They often feed on plants and fungi, break down animal and plant debris, and eat other invertebrates. Some species are prey of various animals including birds and mammals. Certain species are agricultural pests, such as the Colorado potato beetle Leptinotarsa decemlineata, the boll weevil Anthonomus grandis, the red flour beetle Tribolium castaneum, and the mungbean or cowpea beetle Callosobruchus maculatus, while other species of beetles are important controls of agricultural pests. For example, coccinellidae (""ladybirds"" or ""ladybugs"") consume aphids, scale insects, thrips, and other plant-sucking insects that damage crops.",no,384d_enhanced_top1
160,Do beetles antennae function primarily as organs of smell?,Beetles use their antennae to communicate with other beetles. Beetles use their antennae to communicate with other beetles. Beetles use their antennae to communicate with other beetles. Beet,"Beetles' antennae are primarily organs of smell, but may also be used to feel out a beetle's environment physically. They may also be used in some families during mating, or among a few beetles for defence. Antennae vary greatly in form within the Coleoptera, but are often similar within any given family. In some cases, males and females of the same species will have different antennal forms. Antennae may be clavate (flabellate and lamellate are sub-forms of clavate, or clubbed antennae), filiform, geniculate, moniliform, pectinate, or serrate. For images of these antennal forms see antenna (biology).","Beetles' antennae are primarily organs of smell, but may also be used to feel out a beetle's environment physically",384d_enhanced_top1
162,What are the three sections of a beetle?,What are the three parts of a beetle?,"The general anatomy of beetles is quite uniform, although specific organs and appendages may vary greatly in appearance and function between the many families in the order. Like all insects, beetles' bodies are divided into three sections: the head, the thorax, and the abdomen. When viewed from below, the thorax is that part from which all three pairs of legs and both pairs of wings arise. The abdomen is everything posterior to the thorax. When viewed from above, most beetles appear to have three clear sections, but this is deceptive: on the beetle's upper surface, the middle ""section"" is a hard plate called the pronotum, which is only the front part of the thorax; the back part of the thorax is concealed by the beetle's wings. Like all arthropods, beetles are segmented organisms, and all three of the major sections of the body are themselves composed of several further segments, although these are not always readily discernible. This further segmentation is usually best seen on the abdomen.","the head, the thorax, and the abdomen",384d_enhanced_top1
164,Which defense mechanism uses colour or shape to deceive potential enemies?,What type of defense mechanism uses colour or shape to deceive potential enemies?,"Another defence that often uses colour or shape to deceive potential enemies is mimicry. A number of longhorn beetles (family Cerambycidae) bear a striking resemblance to wasps, which fools predators into keeping their distance even though the beetles are in fact harmless. This defence can be found to a lesser extent in other beetle families, such as the scarab beetles. Beetles may combine their colour mimicry with behavioural mimicry, acting like the wasps they already closely resemble.",mimicry,384d_enhanced_top1
166,Which type of beetle is a pest of potato plants?,What type of beetle is a pest of potato plants?,"* The Colorado potato beetle, Leptinotarsa decemlineata, is a notorious pest of potato plants. Crops are destroyed and the beetle can only be treated by employing expensive pesticides, many of which it has begun to develop resistance to. As well as potatoes, suitable hosts can be a number of plants from the potato family (Solanaceae), such as nightshade, tomato, aubergine and capsicum.",Colorado potato beetle,384d_enhanced_top1
168,How can beetle larvae be differentiated from other insect larvae?,How can beetle larvae be differentiated from other insect larvae?,"Beetle larvae can be differentiated from other insect larvae by their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body. Like adult beetles, the larvae are varied in appearance, particularly between beetle families. Beetles whose larvae are somewhat flattened and are highly mobile are the ground beetles, some rove beetles, and others; their larvae are described as campodeiform. Some beetle larvae resemble hardened worms with dark head capsules and minute legs. These are elateriform larvae, and are found in the click beetle (Elateridae) and darkling beetle (Tenebrionidae) families. Some elateriform larvae of click beetles are known as wireworms. Beetles in the families of the Scarabaeoidea have short, thick larvae described as scarabaeiform, but more commonly known as grubs.","hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body",384d_enhanced_top1
170,What do beetles eat?,What do beetles eat?,"Beetles can be found in almost all habitats, but are not known to occur in the sea or in the polar regions. They interact with their ecosystems in several ways. They often feed on plants and fungi, break down animal and plant debris, and eat other invertebrates. Some species are prey of various animals including birds and mammals. Certain species are agricultural pests, such as the Colorado potato beetle Leptinotarsa decemlineata, the boll weevil Anthonomus grandis, the red flour beetle Tribolium castaneum, and the mungbean or cowpea beetle Callosobruchus maculatus, while other species of beetles are important controls of agricultural pests. For example, coccinellidae (""ladybirds"" or ""ladybugs"") consume aphids, scale insects, thrips, and other plant-sucking insects that damage crops.",plants and fungi,384d_enhanced_top1
172,What are the similarities between beetles and grasshoppers?,What are the similarities between beetles and grasshoppers?,"Many agricultural, forestry, and household insect pests are beetles. These include the following:","many agricultural, forestry, and household insect pests are beetles",384d_enhanced_top1
174,Are certain species of beetles considered pests?,Are certain species of beetles considered pests?,"Many agricultural, forestry, and household insect pests are beetles. These include the following:","many agricultural, forestry, and household insect pests are beetles",384d_enhanced_top1
176,Is a beetle's general anatomy uniform?,Is a beetle's general anatomy uniform?,"The general anatomy of beetles is quite uniform, although specific organs and appendages may vary greatly in appearance and function between the many families in the order. Like all insects, beetles' bodies are divided into three sections: the head, the thorax, and the abdomen. When viewed from below, the thorax is that part from which all three pairs of legs and both pairs of wings arise. The abdomen is everything posterior to the thorax. When viewed from above, most beetles appear to have three clear sections, but this is deceptive: on the beetle's upper surface, the middle ""section"" is a hard plate called the pronotum, which is only the front part of the thorax; the back part of the thorax is concealed by the beetle's wings. Like all arthropods, beetles are segmented organisms, and all three of the major sections of the body are themselves composed of several further segments, although these are not always readily discernible. This further segmentation is usually best seen on the abdomen.",quite uniform,384d_enhanced_top1
178,Are beetles endopterygotes?,Are beetles endopterygotes?,Beetles are endopterygotes with complete metamorphosis.,yes,384d_enhanced_top1
