id,question,context,answer,ground_truth,context_relevance,answer_relevance,answer_faithfulness,context_precision,context_recall,context_f1
22,Did Lincoln ever represent Alton & Sangamon Railroad?,"Lincoln began his political career in 1832, at age 23, with an unsuccessful campaign for the Illinois General Assembly, as a member of the Whig Party.  He ran eighth in a field of 13 candidates.  The centerpiece of his platform was the undertaking of navigational improvements on the Sangamon River. He believed that this would attract steamboat traffic, which would allow the sparsely populated, poorer areas along the river to flourish.","he ran eighth in a field of 13 candidates. The centerpiece of his platform was the undertaking of navigational improvements on the Sangamon River. He believed that this would attract steamboat traffic, which would allow the sparsely populated, poorer areas along the river to flourish.","he ran eighth in a field of 13 candidates. The centerpiece of his platform was the undertaking of navigational improvements on the Sangamon River. He believed that this would attract steamboat traffic, which would allow the sparsely populated, poorer areas along the river to flourish.",0.6018449068069458,0.4403020739555359,0.6747551560401917,0.75,0.0,0.0
24,Which county was Lincoln born in?,"The other Lincoln children were born in Springfield, Illinois, and died either during childhood or their teen years. Edward Baker Lincoln was born on March 10, 1846, and died on 1 February, 1850, also in Springfield. William Wallace Lincoln was born on December 21, 1850, and died on February 20, 1862 in Washington, D.C., during Pres. Lincoln's first term. Thomas ""Tad"" Lincoln was born on 4 April, 1853, and died on July 16, 1871 in Chicago.",Illinois,Illinois,0.6495339274406433,0.28648054599761963,0.20113155245780945,0.0,0.0,0.0
26,When did Lincoln first serve as President?,Young Abraham Lincoln,1865,1865,0.6592388153076172,0.4445955753326416,0.4891218841075897,0.0,0.0,0.0
28,Who assassinated Lincoln?,Young Abraham Lincoln,charles dickens,charles dickens,0.6509283781051636,0.3539905250072479,0.39149242639541626,0.0,0.0,0.0
30,Did Lincoln win the election of 1860?,"On November 6, 1860, Lincoln was elected as the 16th President of the United States, beating Democrat Stephen A. Douglas, John C. Breckinridge of the Southern Democrats, and John Bell of the new Constitutional Union Party. He was the first Republican president, winning entirely on the strength of his support in the North: he was not even on the ballot in nine states in the South, and won only 2 of 996 counties in the other Southern states. Lincoln gained 1,865,908 votes (39.9% of the total), for 180 electoral votes; Douglas, 1,380,202 (29.5%) for 12 electoral votes; Breckenridge, 848,019 (18.1%) for 72 electoral votes; and Bell, 590,901 (12.5%) for 39 electoral votes. There were fusion tickets in some states, but even if his opponents had combined in every state, Lincoln had a majority vote in all but two of the states in which he won the electoral votes and would still have won the electoral college and the election.","Lincoln gained 1,865,908 votes (39.9% of the total), for 180 electoral votes; Douglas, 1,380,202 (29.5%) for 12 electoral votes; Breckenridge, 848,019 (18.1%) for 72 electoral votes; and Bell, 590,901 (12.5%) for 39 electoral votes. There were fusion tickets in some states, but even if his opponents had combined in every state, Lincoln had a majority vote in all but two of the states in which he won the electoral votes and would still have won the electoral college and the election.","Lincoln gained 1,865,908 votes (39.9% of the total), for 180 electoral votes; Douglas, 1,380,202 (29.5%) for 12 electoral votes; Breckenridge, 848,019 (18.1%) for 72 electoral votes; and Bell, 590,901 (12.5%) for 39 electoral votes. There were fusion tickets in some states, but even if his opponents had combined in every state, Lincoln had a majority vote in all but two of the states in which he won the electoral votes and would still have won the electoral college and the election.",0.6822433471679688,0.6506407260894775,0.8870700597763062,0.7,0.8333333333333334,0.7608695652173915
32,Who was the general in charge at the Battle of Antietam?,"Panicked by Lee's invasion of Maryland, Lincoln restored McClellan to command of all forces around Washington in time for the Battle of Antietam (September 1862). The ensuing Union victory enabled Lincoln to release his Emancipation Proclamation, but he relieved McClellan of his command shortly after the 1862 midterm elections and appointed Republican Ambrose Burnside to head the Army of the Potomac. Burnside had promised to follow through on Lincoln's strategic vision for a strong offensive against Lee and Richmond. After Burnside was stunningly defeated at Fredericksburg, Joseph Hooker was given the command, despite his idle talk about the necessity for a military dictator to win the war and a past history of criticizing his commanders.  Joseph Hooker biography  Hooker was routed by Lee at the Battle of Chancellorsville (May 1863), and relieved of command early in the subsequent Gettysburg Campaign replaced by George Meade.",McClellan,McClellan,0.49483394622802734,0.24432392418384552,0.47700077295303345,0.2,0.0,0.0
34,Why did Lincoln issue the Emancipation Proclamation?,"The Emancipation Proclamation, announced on September 22 and put into effect on January 1, 1863, freed slaves in territories not under Union control. As Union armies advanced south, more slaves were liberated until all of them in Confederate hands (over three million) were freed. Lincoln later said: ""I never, in my life, felt more certain that I was doing right, than I do in signing this paper."" The proclamation made the abolition of slavery in the rebel states an official war goal. Lincoln then threw his energies into passage of the Thirteenth Amendment to permanently abolish slavery throughout the nation. Lincoln addressed the issue of his consistency in an 1864 letter to Albert G. Hodges.  Letter to Albert G. Hodges, April 4, 1864",freed slaves in territories not under Union control,freed slaves in territories not under Union control,0.6635249853134155,0.46478790044784546,0.5059700012207031,0.3333333333333333,1.0,0.5
37,Do scholars rank lincoln among the top three presidents?,"Historian Thomas Bailey, who disagreed with Roosevelt's policies, nevertheless concluded, ""Roosevelt was a great personality, a great activist, a great preacher of the moralities, a great controversialist, a great showman. He dominated his era as he dominated conversations....the masses loved him; he proved to be a great popular idol and a great vote getter.""    His image stands alongside Washington, Jefferson and Lincoln on Mount Rushmore.  Surveys of scholars have consistently ranked him from #3 to #7 on the list of greatest American presidents.",Jefferson,Jefferson,0.501707136631012,0.24002282321453094,0.24979791045188904,0.0,0.0,0.0
39,Did lincoln have 18 months of schooling?,"Lincoln's formal education consisted of about 18 months of schooling. Largely self-educated, he read every book he could get his hands on, once walking.  just to borrow one  While his favorite book was The Life of George Washington, Lincoln mastered the Bible, Shakespeare, and English and American history, and developed a plain writing style that puzzled audiences more used to grandiose rhetoric. He was also a talented local wrestler and skilled with an ax; some rails he had allegedly split in his youth were exhibited at the 1860 Republican National Convention, as the party celebrated the poor-boy-made-good theme. Lincoln avoided hunting and fishing because he did not like killing animals, even for food. Though he was unusually tall at  , 4 inches and strong, Lincoln spent so much time reading that some neighbors suspected he must be doing it to avoid strenuous manual labor.",Yes,Yes,0.6335833668708801,0.06417916715145111,-0.06673994660377502,0.0,0.0,0.0
41,Was Lincoln chosen as a presidential candidate in 1860?,Young Abraham Lincoln,1865,1865,0.6173803210258484,0.3648856282234192,0.4891218841075897,0.0,0.0,0.0
43,How old was Lincoln in 1816?,Young Abraham Lincoln,18,18,0.6962052583694458,0.305612713098526,0.32001569867134094,0.0,0.0,0.0
45,When was the first photgraph of lincoln taken?,"The first photograph ever taken of Abraham Lincoln, a daguerreotype taken by Shepherd in 1846.",1846,1846,0.6706697940826416,0.4169256091117859,0.38211825489997864,0.0,0.0,0.0
47,How long was Lincoln's legal Career?,"In 1834, he won election to the state legislature, and after coming across the Commentaries on the Laws of England, began to teach himself law. Admitted to the bar in 1837, he moved to Springfield, Illinois, that same year and began to practice law with John T. Stuart. With a reputation as a formidable adversary during cross-examinations and in his closing arguments, Lincoln became one of the most respected and successful lawyers in Illinois and grew steadily more prosperous.",1837,1837,0.6115479469299316,0.39183565974235535,0.3662679195404053,0.0,0.0,0.0
49,What trail did Lincoln use a Farmers' Almanac in? ,"For several months, Lincoln ran a small store in New Salem, selling tea, coffee, sugar, salt, blue calico, brown muslin, straw hats and whiskey.  Beveridge (1928) 1:127-8  Later, he found work as village postmaster and as a surveyor.",New Salem,New Salem,0.5029345154762268,0.18844912946224213,0.38565975427627563,0.0,0.0,0.0
51,Did Abraham Lincoln live in the Frontier?,Young Abraham Lincoln,New York,New York,0.6302714347839355,0.19058147072792053,0.24129106104373932,0.0,0.0,0.0
53,Did Lincoln's Wife's Family support slavery?,"On November 4 1842 Lincoln married Mary Todd, daughter of a prominent slave-owning family from Kentucky. The couple had four sons. Robert Todd Lincoln was born in Springfield, Illinois on 1 August, 1843. Their only child to survive into adulthood, young Robert attended Phillips Exeter Academy and Harvard College. Robert died on July 26, 1926, in Manchester, Vermont.",Yes,Yes,0.6118898391723633,0.09472581744194031,-0.07470597326755524,0.0,0.0,0.0
80,Who is most noted for his contributions to the theory of molarity and molecular weight?,"Lorenzo Romano Amedeo Carlo Avogadro, Count of Quaregna and Cerreto (August 9, 1776 July 9, 1856) was an Italian savant.  He is most noted for his contributions to the theory of molarity and molecular weight. As a tribute to him, the number of elementary entities (atoms, molecules, ions or other particles) in one mole of a substance, 6.02214199x10 23 , is known as Avogadro's number.",Lorenzo Romano Amedeo Carlo Avogadro,Lorenzo Romano Amedeo Carlo Avogadro,0.6071587800979614,0.29422280192375183,0.5820848941802979,0.25,1.0,0.4
83,Who graduated in ecclesiastical law at the early age of 20 and began to practice?,He graduated in ecclesiastical law at  the early age of 20 and began to practice.,He,He,0.9122514724731445,0.0808773934841156,0.08881440758705139,0.0,0.0,0.0
86,When did he publish another memoria?,"In 1821 he published another memoria, Nouvelles considérations sur la théorie des proportions déterminées dans les combinaisons, et sur la détermination des masses des molécules des corps and little after Mémoire sur la manière de ramener les composès organiques aux lois ordinaires des proportions déterminées.",1821,1821,0.5430076122283936,0.22606608271598816,0.27809828519821167,0.0,0.0,0.0
89,When did he become a professor?,"He was elected a member of the Royal Society in 1824, appointed director of the laboratory in 1825; and in 1833 he was appointed Fullerian professor of chemistry in the institution for life, without the obligation to deliver lectures.",1833,1833,0.5765694379806519,0.27918940782546997,0.25669950246810913,0.0,0.0,0.0
92,Is it true that he became a professor in 1820?,"He was active in the political revolutionary movements of 1821 against the king of Sardinia, and as a result, was removed from his chair in 1823 (or, as officially declared, the university was ""very glad to allow this interesting scientist to take a rest from heavy teaching duties, in order to be able to give a better attention to his researches"") .",no,no,0.5728098154067993,0.024106519296765327,-0.027953963726758957,0.0,0.0,0.0
95,Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?,"Lorenzo Romano Amedeo Carlo Avogadro, Count of Quaregna and Cerreto (August 9, 1776 July 9, 1856) was an Italian savant.  He is most noted for his contributions to the theory of molarity and molecular weight. As a tribute to him, the number of elementary entities (atoms, molecules, ions or other particles) in one mole of a substance, 6.02214199x10 23 , is known as Avogadro's number.",yes,yes,0.6230548620223999,0.14028295874595642,0.031639762222766876,0.0,0.0,0.0
98,"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?","Amedeo Avogadro was born in Turin August 9th 1776 to a noble ancient family of Piedmont,  Italy.",Turin,Turin,0.9358149170875549,0.4992632269859314,0.40716487169265747,0.0,0.0,0.0
101,Is he most noted for his contributions to the theory of molarity and molecular weight?,"Clausius, by his kinetic theory on gases, was able to give another confirmation of Avogadro's law. Not long after, in his researches regarding dilute solutions (and the consequent discovery of analogies between the behaviour of solutions and gases), J. H. van 't Hoff added his final consensus for the triumph of the Italian scientist, who since then has been considered the founder of the atomic-molecular theory.",no,no,0.6009079217910767,-0.013290775939822197,-0.00019062310457229614,0.0,0.0,0.0
115,Was King Victor Emmanuel III there to pay homage to Avogadro ?,"In 1911, a historic meeting took place in Turin to commemorate the hundredth anniversary of the publication of Avogadro's classic 1811 memoir. King Victor Emmanuel III was there to pay homage to Avogadro. Thus Avogadro's great contribution to chemistry was recognised and he is recognised as a great Italian chemist. (Note: In 1911, Victor Emmanuel III was the King of a unified Italy with Rome instead or Turin as its capital. The unification of Italy did not happen during the life time of Avogadro. In fact, Avogadro's famous 1811 paper was written in French.)",King of a unified Italy,King of a unified Italy,0.6783311367034912,0.45130932331085205,0.4899660348892212,0.2857142857142857,0.0,0.0
118,Is Avogadro 's number commonly used to compute the results of chemical reactions ?,"Loschmidt first calculated the value of Avogadro's number, now called Avogadro's constant, which is still sometimes referred to as the Loschmidt number in German-language countries (Loschmidt constant now has another meaning).  Avogadro's number is commonly used to compute the results of chemical reactions. It allows chemists to determine the exact amounts of substances produced in a given reaction.",Avogadro's number is commonly used to compute the results of chemical reactions,Avogadro's number is commonly used to compute the results of chemical reactions,0.6831469535827637,0.9635739326477051,0.6903859376907349,1.0,1.0,1.0
123,Did the scientific community not reserve great attention to his theory ?,"The theory was never published. At the time of his announcement, it was considered by the scientific establishment to exceed the bounds of reason. Some believe that Tesla never fully developed the Unified Field Theory.",It was considered by the scientific establishment to exceed the bounds of reason.,It was considered by the scientific establishment to exceed the bounds of reason.,0.5679364204406738,0.4591701328754425,0.4304288625717163,0.3333333333333333,0.0,0.0
131,Can the title of this famous 1811 paper be roughly translated into english?,"In 1811, he published an article with the title Essai d'une manière de déterminer les masses relatives des molécules élémentaires des corps, et les proportions selon lesquelles elles entrent dans ces combinaisons, which contains the famous Avogadro's hypothesis. The title of this famous 1811 paper can be roughly translated into English as ""Essay on Determining the Relative Masses of the Elementary Molecules of Bodies"".  (Note: At that time in 1811, northern Italy was actually under French rule during the era of Napoléon Bonaparte. Avogadro submitted his poem to a French journal. This paper was written in French, not in Italian.)",no,no,0.523846447467804,0.08449073135852814,-0.03810065612196922,0.0,0.0,0.0
136,What happened in 1833?,The Resumption of Species Act of 1875 which was signed by Grant and helped to end the crisis in 1879 when the law came in to effect,The Resumption of Species Act of 1875,The Resumption of Species Act of 1875,0.44211751222610474,0.3913866877555847,0.8424981832504272,1.0,1.0,1.0
139,Who determined the dependence of the boiling of water with atmospheric pressure?,"Anders Celsius was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds. In his Swedish paper ""Observations of two persistent degrees on a thermometer"" he reports on experiments to check that the freezing point is independent of latitude (and of atmospheric pressure). He determined the dependence of the boiling of water with atmospheric pressure (in excellent agreement with modern data). He further gave a rule for the determination of the boiling point if the barometric pressure deviates from a certain standard pressure  History of the Celsius temperature scale .",Anders Celsius,Anders Celsius,0.5451335310935974,0.3168492317199707,0.6768451929092407,0.25,0.0,0.0
140,What is named after him?,;Origin and history of the name,St. John's Basilica,St. John's Basilica,0.6166919469833374,0.16869977116584778,0.0914006233215332,0.0,0.0,0.0
141,When did he publish a collection?,"In 1841 he completed and published his work in Fisica dei corpi ponderabili, ossia Trattato della costituzione materiale de' corpi, 4 volumes.",1841,1841,0.4581186771392822,0.193405419588089,0.4017564058303833,0.0,0.0,0.0
142,Is it true that he published a collection in 1738?,In the 1690s Newton wrote a number of religious tracts dealing with the literal interpretation of the Bible. Henry More's belief in the universe and rejection of Cartesian dualism may have influenced Newton's religious ideas. A manuscript he sent to John Locke in which he disputed the existence of the Trinity was never published. Later works â The Chronology of Ancient Kingdoms Amended (1728) and Observations Upon the Prophecies of Daniel and the Apocalypse of St. John (1733) â were published after his death. He also devoted a great deal of time to alchemy (see above).,no,no,0.4878414273262024,0.05750430002808571,-0.049791403114795685,0.0,0.0,0.0
143,Is it true that thermometer had 100 for the freezing point?,"Anders Celsius was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds. In his Swedish paper ""Observations of two persistent degrees on a thermometer"" he reports on experiments to check that the freezing point is independent of latitude (and of atmospheric pressure). He determined the dependence of the boiling of water with atmospheric pressure (in excellent agreement with modern data). He further gave a rule for the determination of the boiling point if the barometric pressure deviates from a certain standard pressure  History of the Celsius temperature scale .",no,no,0.539851725101471,0.08713828772306442,-0.0497695729136467,0.0,0.0,0.0
144,Was Celsius born in Uppsala in Sweden?,"Celsius was born in Uppsala in Sweden. He was professor of astronomy at Uppsala University from 1730 to 1744, but traveled from 1732 to 1735 visiting notable observatories in Germany, Italy and France.",Uppsala,Uppsala,0.8115759491920471,0.6249865293502808,0.3975772261619568,0.5,0.0,0.0
145,"Was Anders Celsius (November 27, 1701 April 25, 1744) a Swedish astronomer?","Anders Celsius (November 27, 1701   April 25, 1744) was a Swedish astronomer.",Swedish physicist,Swedish physicist,0.9756120443344116,0.4854031503200531,0.43932583928108215,0.0,0.0,0.0
146,Is The Celsius crater on the Moon named after him?,The Celsius crater on the Moon is named after him.,Celsius,Celsius,0.9467016458511353,0.4391852617263794,0.4211602807044983,0.0,0.0,0.0
147,Who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?,"Anders Celsius was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds. In his Swedish paper ""Observations of two persistent degrees on a thermometer"" he reports on experiments to check that the freezing point is independent of latitude (and of atmospheric pressure). He determined the dependence of the boiling of water with atmospheric pressure (in excellent agreement with modern data). He further gave a rule for the determination of the boiling point if the barometric pressure deviates from a certain standard pressure  History of the Celsius temperature scale .",Anders Celsius,Anders Celsius,0.7064799666404724,0.4064810872077942,0.6768451929092407,0.25,0.0,0.0
148,The Celsius crater on the Moon is what?,The Celsius crater on the Moon is named after him.,Celsius,Celsius,0.827775239944458,0.5447392463684082,0.4211602807044983,0.0,0.0,0.0
149,Is the Celsius crater on the Moon named after him ?,The Celsius crater on the Moon is named after him.,Celsius,Celsius,0.9467016458511353,0.4391852617263794,0.4211602807044983,0.0,0.0,0.0
150,Had his thermometer 100 for the freezing point of water and 0 for the boiling point ?,"Anders Celsius was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds. In his Swedish paper ""Observations of two persistent degrees on a thermometer"" he reports on experiments to check that the freezing point is independent of latitude (and of atmospheric pressure). He determined the dependence of the boiling of water with atmospheric pressure (in excellent agreement with modern data). He further gave a rule for the determination of the boiling point if the barometric pressure deviates from a certain standard pressure  History of the Celsius temperature scale .",No,No,0.6050231456756592,0.10033293813467026,-0.0497695729136467,0.0,0.0,0.0
151,Was Celsius born in Uppsala in Sweden ?,"Celsius was born in Uppsala in Sweden. He was professor of astronomy at Uppsala University from 1730 to 1744, but traveled from 1732 to 1735 visiting notable observatories in Germany, Italy and France.",yes,yes,0.8115759491920471,0.1015596091747284,-0.05471760779619217,0.0,0.0,0.0
153,Did he not determine the dependence of the boiling of water with atmospheric pressure -LRB- in excellent agreement with modern data -RRB- ?,"Anders Celsius was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds. In his Swedish paper ""Observations of two persistent degrees on a thermometer"" he reports on experiments to check that the freezing point is independent of latitude (and of atmospheric pressure). He determined the dependence of the boiling of water with atmospheric pressure (in excellent agreement with modern data). He further gave a rule for the determination of the boiling point if the barometric pressure deviates from a certain standard pressure  History of the Celsius temperature scale .",Yes,Yes,0.49259281158447266,0.02151673659682274,-0.029945338144898415,0.0,0.0,0.0
154,What happened from 1730 to 1744?,"*Hills, Rev. Dr. Richard L., James Watt, Vol 1, His time in Scotland, 1736-1774 (2002); Vol 2, The years of toil, 1775-1785; Vol 3 Triumph through adversity 1785-1819.  Landmark Publishing Ltd, ISBN 1-84306-045-0.",His time in Scotland,His time in Scotland,0.5276106595993042,0.2981366515159607,0.5636918544769287,0.2,1.0,0.33333333333333337
155,What happened in 1745?,"*Hills, Rev. Dr. Richard L., James Watt, Vol 1, His time in Scotland, 1736-1774 (2002); Vol 2, The years of toil, 1775-1785; Vol 3 Triumph through adversity 1785-1819.  Landmark Publishing Ltd, ISBN 1-84306-045-0.","Rev. Dr. Richard L., James Watt, Vol 1, His time in Scotland","Rev. Dr. Richard L., James Watt, Vol 1, His time in Scotland",0.45600685477256775,0.251558780670166,0.5859178304672241,0.2,0.25,0.22222222222222224
156,Are beetles insects?,"Many agricultural, forestry, and household insect pests are beetles. These include the following:",insects,insects,0.8240383863449097,0.7804669141769409,0.6564143896102905,0.5,0.0,0.0
158,Can beetles be found in polar regions?,"Beetles can be found in almost all habitats, but are not known to occur in the sea or in the polar regions. They interact with their ecosystems in several ways. They often feed on plants and fungi, break down animal and plant debris, and eat other invertebrates. Some species are prey of various animals including birds and mammals. Certain species are agricultural pests, such as the Colorado potato beetle Leptinotarsa decemlineata, the boll weevil Anthonomus grandis, the red flour beetle Tribolium castaneum, and the mungbean or cowpea beetle Callosobruchus maculatus, while other species of beetles are important controls of agricultural pests. For example, coccinellidae (""ladybirds"" or ""ladybugs"") consume aphids, scale insects, thrips, and other plant-sucking insects that damage crops.",no,no,0.5858718752861023,0.09063412249088287,-0.01753612607717514,0.0,0.0,0.0
160,Do beetles antennae function primarily as organs of smell?,"Beetles' antennae are primarily organs of smell, but may also be used to feel out a beetle's environment physically. They may also be used in some families during mating, or among a few beetles for defence. Antennae vary greatly in form within the Coleoptera, but are often similar within any given family. In some cases, males and females of the same species will have different antennal forms. Antennae may be clavate (flabellate and lamellate are sub-forms of clavate, or clubbed antennae), filiform, geniculate, moniliform, pectinate, or serrate. For images of these antennal forms see antenna (biology).","Beetles' antennae are primarily organs of smell, but may also be used to feel out a beetle's environment physically","Beetles' antennae are primarily organs of smell, but may also be used to feel out a beetle's environment physically",0.7803361415863037,0.8973203897476196,0.830672025680542,0.5,1.0,0.6666666666666666
162,What are the three sections of a beetle?,"The general anatomy of beetles is quite uniform, although specific organs and appendages may vary greatly in appearance and function between the many families in the order. Like all insects, beetles' bodies are divided into three sections: the head, the thorax, and the abdomen. When viewed from below, the thorax is that part from which all three pairs of legs and both pairs of wings arise. The abdomen is everything posterior to the thorax. When viewed from above, most beetles appear to have three clear sections, but this is deceptive: on the beetle's upper surface, the middle ""section"" is a hard plate called the pronotum, which is only the front part of the thorax; the back part of the thorax is concealed by the beetle's wings. Like all arthropods, beetles are segmented organisms, and all three of the major sections of the body are themselves composed of several further segments, although these are not always readily discernible. This further segmentation is usually best seen on the abdomen.","the head, the thorax, and the abdomen","the head, the thorax, and the abdomen",0.7269860506057739,0.340329110622406,0.5136218070983887,0.2857142857142857,1.0,0.4444444444444445
164,Which defense mechanism uses colour or shape to deceive potential enemies?,"Another defence that often uses colour or shape to deceive potential enemies is mimicry. A number of longhorn beetles (family Cerambycidae) bear a striking resemblance to wasps, which fools predators into keeping their distance even though the beetles are in fact harmless. This defence can be found to a lesser extent in other beetle families, such as the scarab beetles. Beetles may combine their colour mimicry with behavioural mimicry, acting like the wasps they already closely resemble.",mimicry,mimicry,0.6781789660453796,0.317987322807312,0.4485868215560913,0.25,0.0,0.0
166,Which type of beetle is a pest of potato plants?,"* The Colorado potato beetle, Leptinotarsa decemlineata, is a notorious pest of potato plants. Crops are destroyed and the beetle can only be treated by employing expensive pesticides, many of which it has begun to develop resistance to. As well as potatoes, suitable hosts can be a number of plants from the potato family (Solanaceae), such as nightshade, tomato, aubergine and capsicum.",Colorado potato beetle,Colorado potato beetle,0.769230842590332,0.7399188876152039,0.7224462032318115,0.3333333333333333,1.0,0.5
