id,question,context,answer,strategy
20,Did Lincoln start his political career in 1832?,"Lincoln began his political career in 1832, at age 23, with an unsuccessful campaign for the Illinois General Assembly, as a member of the Whig Party.  He ran eighth in a field of 13 candidates.  The centerpiece of his platform was the undertaking of navigational improvements on the Sangamon River. He believed that this would attract steamboat traffic, which would allow the sparsely populated, poorer areas along the river to flourish.",Yes,768d_top1_persona
22,Did Lincoln ever represent Alton & Sangamon Railroad?,"By the mid-1850s, Lincoln's caseload focused largely on the competing transportation interests of river barges and railroads. In one prominent 1851 case, he represented the Alton & Sangamon Railroad in a dispute with a shareholder, James A. Barret. Barret had refused to pay the balance on his pledge to the railroad on the grounds that it had changed its originally planned route. Lincoln argued that as a matter of law a corporation is not bound by its original charter when that charter can be amended in the public interest, that the newer route proposed by Alton & Sangamon was superior and less expensive, and that accordingly, the corporation had a right to sue Barret for his delinquent payment. He won this case, and the decision by the Illinois Supreme Court was eventually cited by several other courts throughout the United States. Donald, (1995) ch. 6.","In one prominent 1851 case, he represented the Alton & Sangamon Railroad in a dispute with a shareholder, James A. Barret. Barret had refused to pay the balance on his pledge to the railroad on the grounds that it had changed its originally planned route. Lincoln argued that as a matter of law a corporation is not bound by its original charter when that charter can be amended in the public interest, that the newer route proposed by Alton & Sangamon was superior and less expensive, and that accordingly, the corporation had a right to sue Barret for his delinquent payment. He won this case, and the decision by the Illinois Supreme Court was eventually cited by several other courts throughout the United States.",768d_top1_persona
24,Which county was Lincoln born in?,"Abraham Lincoln was born on February 12, 1809, to Thomas Lincoln and Nancy Hanks, two uneducated farmers. Lincoln was born in a one-room log cabin on the   Sinking Spring Farm, in southeast Hardin County, Kentucky (now part of LaRue County). This area was at the time considered the ""frontier."" The name ""Abraham"" was chosen to commemorate his grandfather, who was killed in an American Indian raid in 1786. Donald (1995) p 21  His elder sister, Sarah Lincoln, was born in 1807; a younger brother, Thomas Jr, died in infancy. It is sometimes debated whether Lincoln had Marfan syndrome, an autosomal dominant disorder of the connective tissue characterized by long limbs and great physical stature.  Marfan syndrome: Introduction Aug 1, 2006","Hardin County, Kentucky",768d_top1_persona
26,When did Lincoln first serve as President?,"Abraham Lincoln (February 12, 1809 â April 15, 1865) was the sixteenth President of the United States, serving from March 4, 1861 until his assassination. As an outspoken opponent of the expansion of slavery in the United States, ""[I]n his short autobiography written for the 1860 presidential campaign, Lincoln would describe his protest in the Illinois legislature as one that 'briefly defined his position on the slavery question, and so far as it goes, it was then the same that it is now."" This was in reference to the anti-expansion sentiments he had then expressed. Doris Kearns Goodwin, Team of Rivals: The Political Genius of Abraham Lincoln (2005) p. 91.  Holzer pg. 232.  Writing of the Cooper Union  speech, Holzer notes, ""Cooper Union proved a unique confluence of political culture, rhetorical opportunity, technological innovation, and human genius, and it brought Abraham Lincoln to the center stage of American politics at precisely the right time and place, and with precisely the right message: that slavery was wrong, and ought to be confined to the areas where it already existed, and placed on the 'course of ultimate extinction... .'""  Lincoln won the Republican Party nomination in 1860 and was elected president later that year. During his term, he helped preserve the United States by leading the defeat of the secessionist Confederate States of America in the American Civil War. He introduced measures that resulted in the abolition of slavery, issuing his Emancipation Proclamation in 1863 and promoting the passage of the Thirteenth Amendment to the Constitution in 1865.","February 12, 1809 â April 15, 1865",768d_top1_persona
28,Who assassinated Lincoln?,"The assassination of Abraham Lincoln. From left to right: Henry Rathbone, Clara Harris, Mary Todd Lincoln, Abraham Lincoln and John Wilkes Booth",Henry Rathbone,768d_top1_persona
30,Did Lincoln win the election of 1860?,"On November 6, 1860, Lincoln was elected as the 16th President of the United States, beating Democrat Stephen A. Douglas, John C. Breckinridge of the Southern Democrats, and John Bell of the new Constitutional Union Party. He was the first Republican president, winning entirely on the strength of his support in the North: he was not even on the ballot in nine states in the South, and won only 2 of 996 counties in the other Southern states. Lincoln gained 1,865,908 votes (39.9% of the total), for 180 electoral votes; Douglas, 1,380,202 (29.5%) for 12 electoral votes; Breckenridge, 848,019 (18.1%) for 72 electoral votes; and Bell, 590,901 (12.5%) for 39 electoral votes. There were fusion tickets in some states, but even if his opponents had combined in every state, Lincoln had a majority vote in all but two of the states in which he won the electoral votes and would still have won the electoral college and the election.","Lincoln gained 1,865,908 votes (39.9% of the total), for 180 electoral votes; Douglas, 1,380,202 (29.5%) for 12 electoral votes; Breckenridge, 848,019 (18.1%) for 72 electoral votes; and Bell, 590,901 (12.5%) for 39 electoral votes. There were fusion tickets in some states, but even if his opponents had combined in every state, Lincoln had a majority vote in all but two of the states in which he won the electoral votes and would still have won the electoral college and the election.",768d_top1_persona
32,Who was the general in charge at the Battle of Antietam?,"Lincoln, in top hat, with Allan Pinkerton and Gen. John Alexander McClernand at Antietam.",John Alexander McClernand,768d_top1_persona
34,Why did Lincoln issue the Emancipation Proclamation?,"The Emancipation Proclamation, announced on September 22 and put into effect on January 1, 1863, freed slaves in territories not under Union control. As Union armies advanced south, more slaves were liberated until all of them in Confederate hands (over three million) were freed. Lincoln later said: ""I never, in my life, felt more certain that I was doing right, than I do in signing this paper."" The proclamation made the abolition of slavery in the rebel states an official war goal. Lincoln then threw his energies into passage of the Thirteenth Amendment to permanently abolish slavery throughout the nation. Lincoln addressed the issue of his consistency in an 1864 letter to Albert G. Hodges.  Letter to Albert G. Hodges, April 4, 1864",freed slaves in territories not under Union control,768d_top1_persona
37,Do scholars rank lincoln among the top three presidents?,"Scholars now rank Lincoln among the top three U.S. Presidents, with the majority of those surveyed placing him first. He is noted for his lasting influence on U.S. politics, including a redefinition of republicanism.  As Diggins explains, ""Lincoln presented Americans a theory of history that offers a profound contribution to the theory and destiny of republicanism itself."" John Patrick Diggins, The Lost Soul of American Politics: Virtue, Self-interest, and the Foundations of Liberalism (1986) p. 307. Foner (1970) p. 215 noted that, ""Lincoln stressed the moral basis of Republicanism."" Jaffa (2000) p. 399, stresses Lincoln's emphasis on the Declaration of Independence as what Lincoln called the ""sheet anchor"" of republicanism. See also McPherson (1992) pp.61-64.","Scholars now rank Lincoln among the top three U.S. Presidents, with the majority of those surveyed placing him first. He is noted for his lasting influence on U.S. politics, including a redefinition of republicanism.",768d_top1_persona
39,Did lincoln have 18 months of schooling?,"Lincoln's formal education consisted of about 18 months of schooling. Largely self-educated, he read every book he could get his hands on, once walking.  just to borrow one  While his favorite book was The Life of George Washington, Lincoln mastered the Bible, Shakespeare, and English and American history, and developed a plain writing style that puzzled audiences more used to grandiose rhetoric. He was also a talented local wrestler and skilled with an ax; some rails he had allegedly split in his youth were exhibited at the 1860 Republican National Convention, as the party celebrated the poor-boy-made-good theme. Lincoln avoided hunting and fishing because he did not like killing animals, even for food. Though he was unusually tall at  , 4 inches and strong, Lincoln spent so much time reading that some neighbors suspected he must be doing it to avoid strenuous manual labor.","Lincoln mastered the Bible, Shakespeare, and English and American history, and developed a plain writing style that puzzled audiences more used to grandiose rhetoric",768d_top1_persona
41,Was Lincoln chosen as a presidential candidate in 1860?,"On November 6, 1860, Lincoln was elected as the 16th President of the United States, beating Democrat Stephen A. Douglas, John C. Breckinridge of the Southern Democrats, and John Bell of the new Constitutional Union Party. He was the first Republican president, winning entirely on the strength of his support in the North: he was not even on the ballot in nine states in the South, and won only 2 of 996 counties in the other Southern states. Lincoln gained 1,865,908 votes (39.9% of the total), for 180 electoral votes; Douglas, 1,380,202 (29.5%) for 12 electoral votes; Breckenridge, 848,019 (18.1%) for 72 electoral votes; and Bell, 590,901 (12.5%) for 39 electoral votes. There were fusion tickets in some states, but even if his opponents had combined in every state, Lincoln had a majority vote in all but two of the states in which he won the electoral votes and would still have won the electoral college and the election.","Lincoln was elected as the 16th President of the United States, beating Democrat Stephen A. Douglas, John C. Breckinridge of the Southern Democrats, and John Bell of the new Constitutional Union Party.",768d_top1_persona
43,How old was Lincoln in 1816?,Young Abraham Lincoln,1816,768d_top1_persona
45,When was the first photgraph of lincoln taken?,"The first photograph ever taken of Abraham Lincoln, a daguerreotype taken by Shepherd in 1846.",1846,768d_top1_persona
47,How long was Lincoln's legal Career?,"Warned by his law partner, William Herndon, that the damage was mounting and irreparable, Lincoln decided not to run for reelection. In fact, in 1848 he campaigned vigorously for Zachary Taylor, the successful general whose atrocities he had denounced in January. Regardless, his statements were not easily forgotten, and would haunt him during the Civil War. These statements were also held against him when he applied for a position in the new Taylor administration. Instead, Taylor's people offered Lincoln various positions in the remote Oregon Territory, primarily the governorship. Acceptance of this offer would have ended his career in the rapidly growing state of Illinois, so Lincoln declined the position. Returning to Springfield, Lincoln gave up politics for several years and turned his energies to his law practice. During this time, he made many trips on horseback between various counties' courthouses. Beveridge, (1928) 1: 428-33; Donald (1995) p. 140-43.",several years,768d_top1_persona
49,What trail did Lincoln use a Farmers' Almanac in? ,"For several months, Lincoln ran a small store in New Salem, selling tea, coffee, sugar, salt, blue calico, brown muslin, straw hats and whiskey.  Beveridge (1928) 1:127-8  Later, he found work as village postmaster and as a surveyor.","New Salem, selling tea, coffee, sugar, salt, blue calico, brown muslin, straw hats and whiskey",768d_top1_persona
51,Did Abraham Lincoln live in the Frontier?,"Abraham Lincoln was born on February 12, 1809, to Thomas Lincoln and Nancy Hanks, two uneducated farmers. Lincoln was born in a one-room log cabin on the   Sinking Spring Farm, in southeast Hardin County, Kentucky (now part of LaRue County). This area was at the time considered the ""frontier."" The name ""Abraham"" was chosen to commemorate his grandfather, who was killed in an American Indian raid in 1786. Donald (1995) p 21  His elder sister, Sarah Lincoln, was born in 1807; a younger brother, Thomas Jr, died in infancy. It is sometimes debated whether Lincoln had Marfan syndrome, an autosomal dominant disorder of the connective tissue characterized by long limbs and great physical stature.  Marfan syndrome: Introduction Aug 1, 2006","This area was at the time considered the ""frontier.""",768d_top1_persona
53,Did Lincoln's Wife's Family support slavery?,"For some time, Thomas Lincoln was a respected and relatively affluent citizen of the Kentucky back country. He had purchased the Sinking Spring Farm in December of 1808 for $200 cash and assumption of a debt.  The farm site is now preserved as part of Abraham Lincoln Birthplace National Historic Site.  The family belonged to a Baptist church that had seceded from a larger church over the issue of slavery. Though Lincoln was exposed to his parents' anti-slavery sentiment from a very young age, he never joined their church, or any other church for that matter.  As a youth he had little use for religion. Life of Abraham Lincoln, Colonel Ward H. Lamon, 1872 - portions reprinted in  Chapter VIII: Abraham Lincoln, Deist, and Admirer of Thomas Paine, From the book Religious Beliefs of Our Presidents by Franklin Steiner (1936)","The family belonged to a Baptist church that had seceded from a larger church over the issue of slavery. Though Lincoln was exposed to his parents' anti-slavery sentiment from a very young age, he never joined their church, or any other church for that matter.",768d_top1_persona
80,Who is most noted for his contributions to the theory of molarity and molecular weight?,"Lorenzo Romano Amedeo Carlo Avogadro, Count of Quaregna and Cerreto (August 9, 1776 July 9, 1856) was an Italian savant.  He is most noted for his contributions to the theory of molarity and molecular weight. As a tribute to him, the number of elementary entities (atoms, molecules, ions or other particles) in one mole of a substance, 6.02214199x10 23 , is known as Avogadro's number.",Lorenzo Romano Amedeo Carlo Avogadro,768d_top1_persona
83,Who graduated in ecclesiastical law at the early age of 20 and began to practice?,He graduated in ecclesiastical law at  the early age of 20 and began to practice.,He,768d_top1_persona
86,When did he publish another memoria?,Grant writing his memoirs.,1 January 1931,768d_top1_persona
89,When did he become a professor?,"In 1892, he became the third in his family to occupy the physics chair at the MusÃ©um National d'Histoire Naturelle. In 1894, he became chief engineer in the Department of Bridges and Highways.",1894,768d_top1_persona
92,Is it true that he became a professor in 1820?,"He was elected a member of the Royal Society in 1824, appointed director of the laboratory in 1825; and in 1833 he was appointed Fullerian professor of chemistry in the institution for life, without the obligation to deliver lectures.",no,768d_top1_persona
95,Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?,"Lorenzo Romano Amedeo Carlo Avogadro, Count of Quaregna and Cerreto (August 9, 1776 July 9, 1856) was an Italian savant.  He is most noted for his contributions to the theory of molarity and molecular weight. As a tribute to him, the number of elementary entities (atoms, molecules, ions or other particles) in one mole of a substance, 6.02214199x10 23 , is known as Avogadro's number.","He is most noted for his contributions to the theory of molarity and molecular weight. As a tribute to him, the number of elementary entities (atoms, molecules, ions or other particles) in one mole of a substance, 6.02214199x10 23 , is known as Avogadro's number.",768d_top1_persona
98,"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?","Amedeo Avogadro was born in Turin August 9th 1776 to a noble ancient family of Piedmont,  Italy.",Yes,768d_top1_persona
101,Is he most noted for his contributions to the theory of molarity and molecular weight?,"Lorenzo Romano Amedeo Carlo Avogadro, Count of Quaregna and Cerreto (August 9, 1776 July 9, 1856) was an Italian savant.  He is most noted for his contributions to the theory of molarity and molecular weight. As a tribute to him, the number of elementary entities (atoms, molecules, ions or other particles) in one mole of a substance, 6.02214199x10 23 , is known as Avogadro's number.",Yes,768d_top1_persona
115,Was King Victor Emmanuel III there to pay homage to Avogadro ?,"In 1911, a historic meeting took place in Turin to commemorate the hundredth anniversary of the publication of Avogadro's classic 1811 memoir. King Victor Emmanuel III was there to pay homage to Avogadro. Thus Avogadro's great contribution to chemistry was recognised and he is recognised as a great Italian chemist. (Note: In 1911, Victor Emmanuel III was the King of a unified Italy with Rome instead or Turin as its capital. The unification of Italy did not happen during the life time of Avogadro. In fact, Avogadro's famous 1811 paper was written in French.)",King Victor Emmanuel III was there to pay homage to Avogadro. Thus Avogadro's great contribution to chemistry was recognised and he is recognised as a great Italian chemist.,768d_top1_persona
118,Is Avogadro 's number commonly used to compute the results of chemical reactions ?,"Loschmidt first calculated the value of Avogadro's number, now called Avogadro's constant, which is still sometimes referred to as the Loschmidt number in German-language countries (Loschmidt constant now has another meaning).  Avogadro's number is commonly used to compute the results of chemical reactions. It allows chemists to determine the exact amounts of substances produced in a given reaction.",Avogadro's number is commonly used to compute the results of chemical reactions,768d_top1_persona
123,Did the scientific community not reserve great attention to his theory ?,"The theory was never published. At the time of his announcement, it was considered by the scientific establishment to exceed the bounds of reason. Some believe that Tesla never fully developed the Unified Field Theory.",It was considered by the scientific establishment to exceed the bounds of reason.,768d_top1_persona
131,Can the title of this famous 1811 paper be roughly translated into english?,"* Davidson, Hugh M. Blaise Pascal. Boston: Twayne Publishers, 1983.",yes,768d_top1_persona
136,What happened in 1833?,"Grant's second inauguration as President by Chief Justice Salmon P. Chase on March 4, 1873.","Grant's second inauguration as President by Chief Justice Salmon P. Chase on March 4, 1873.",768d_top1_persona
139,Who determined the dependence of the boiling of water with atmospheric pressure?,"Anders Celsius was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds. In his Swedish paper ""Observations of two persistent degrees on a thermometer"" he reports on experiments to check that the freezing point is independent of latitude (and of atmospheric pressure). He determined the dependence of the boiling of water with atmospheric pressure (in excellent agreement with modern data). He further gave a rule for the determination of the boiling point if the barometric pressure deviates from a certain standard pressure  History of the Celsius temperature scale .",Anders Celsius,768d_top1_persona
140,What is named after him?,The Celsius crater on the Moon is named after him.,The Celsius crater on the Moon,768d_top1_persona
141,When did he publish a collection?,"He was a long-time correspondent of the Royal Society and was made a fellow (FRS). He received the Society's 1794 Copley Medal. He published his invention of the Voltaic pile battery in 1800 in the Philosophical Transactions of the Royal Society. He was in correspondence with scientists in Austria, which ruled Lombardy in his day, and in France. His 1800 paper was written in French.",1800,768d_top1_persona
142,Is it true that he published a collection in 1738?,"He was a long-time correspondent of the Royal Society and was made a fellow (FRS). He received the Society's 1794 Copley Medal. He published his invention of the Voltaic pile battery in 1800 in the Philosophical Transactions of the Royal Society. He was in correspondence with scientists in Austria, which ruled Lombardy in his day, and in France. His 1800 paper was written in French.",no,768d_top1_persona
143,Is it true that thermometer had 100 for the freezing point?,"Celsius founded the Uppsala Astronomical Observatory in 1741, and in 1742 he proposed the Celsius temperature scale in a paper to the Royal Swedish Academy of Sciences. His thermometer had 100 for the freezing point of water and 0 for the boiling point. The scale was reversed by Carolus Linnaeus in 1745, to how it is today  Linnaeus' thermometer .",yes,768d_top1_persona
144,Was Celsius born in Uppsala in Sweden?,"Celsius was born in Uppsala in Sweden. He was professor of astronomy at Uppsala University from 1730 to 1744, but traveled from 1732 to 1735 visiting notable observatories in Germany, Italy and France.","He was professor of astronomy at Uppsala University from 1730 to 1744, but traveled from 1732 to 1735 visiting notable observatories in Germany, Italy and France.",768d_top1_persona
145,"Was Anders Celsius (November 27, 1701 April 25, 1744) a Swedish astronomer?","Anders Celsius (November 27, 1701   April 25, 1744) was a Swedish astronomer.",Yes,768d_top1_persona
146,Is The Celsius crater on the Moon named after him?,The Celsius crater on the Moon is named after him.,yes,768d_top1_persona
147,Who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?,"Anders Celsius was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds. In his Swedish paper ""Observations of two persistent degrees on a thermometer"" he reports on experiments to check that the freezing point is independent of latitude (and of atmospheric pressure). He determined the dependence of the boiling of water with atmospheric pressure (in excellent agreement with modern data). He further gave a rule for the determination of the boiling point if the barometric pressure deviates from a certain standard pressure  History of the Celsius temperature scale .",Anders Celsius,768d_top1_persona
148,The Celsius crater on the Moon is what?,The Celsius crater on the Moon is named after him.,named after him,768d_top1_persona
149,Is the Celsius crater on the Moon named after him ?,The Celsius crater on the Moon is named after him.,yes,768d_top1_persona
150,Had his thermometer 100 for the freezing point of water and 0 for the boiling point ?,"Anders Celsius was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds. In his Swedish paper ""Observations of two persistent degrees on a thermometer"" he reports on experiments to check that the freezing point is independent of latitude (and of atmospheric pressure). He determined the dependence of the boiling of water with atmospheric pressure (in excellent agreement with modern data). He further gave a rule for the determination of the boiling point if the barometric pressure deviates from a certain standard pressure  History of the Celsius temperature scale .",He determined the dependence of the boiling of water with atmospheric pressure (in excellent agreement with modern data). He further gave a rule for the determination of the boiling point if the barometric pressure deviates from a certain standard pressure History of the Celsius temperature scale .,768d_top1_persona
151,Was Celsius born in Uppsala in Sweden ?,"Celsius was born in Uppsala in Sweden. He was professor of astronomy at Uppsala University from 1730 to 1744, but traveled from 1732 to 1735 visiting notable observatories in Germany, Italy and France.","He was professor of astronomy at Uppsala University from 1730 to 1744, but traveled from 1732 to 1735 visiting notable observatories in Germany, Italy and France.",768d_top1_persona
153,Did he not determine the dependence of the boiling of water with atmospheric pressure -LRB- in excellent agreement with modern data -RRB- ?,"Anders Celsius was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds. In his Swedish paper ""Observations of two persistent degrees on a thermometer"" he reports on experiments to check that the freezing point is independent of latitude (and of atmospheric pressure). He determined the dependence of the boiling of water with atmospheric pressure (in excellent agreement with modern data). He further gave a rule for the determination of the boiling point if the barometric pressure deviates from a certain standard pressure  History of the Celsius temperature scale .",He further gave a rule for the determination of the boiling point if the barometric pressure deviates from a certain standard pressure,768d_top1_persona
154,What happened from 1730 to 1744?,"*Hills, Rev. Dr. Richard L., James Watt, Vol 1, His time in Scotland, 1736-1774 (2002); Vol 2, The years of toil, 1775-1785; Vol 3 Triumph through adversity 1785-1819.  Landmark Publishing Ltd, ISBN 1-84306-045-0.",His time in Scotland,768d_top1_persona
155,What happened in 1745?,"The Death of General Wolfe on the Plains of Abraham at Quebec in 1759, part of the Seven Years' War.",The Death of General Wolfe on the Plains of Abraham at Quebec,768d_top1_persona
156,Are beetles insects?,"Many agricultural, forestry, and household insect pests are beetles. These include the following:","Many agricultural, forestry, and household insect pests are beetles.",768d_top1_persona
158,Can beetles be found in polar regions?,"Beetles can be found in almost all habitats, but are not known to occur in the sea or in the polar regions. They interact with their ecosystems in several ways. They often feed on plants and fungi, break down animal and plant debris, and eat other invertebrates. Some species are prey of various animals including birds and mammals. Certain species are agricultural pests, such as the Colorado potato beetle Leptinotarsa decemlineata, the boll weevil Anthonomus grandis, the red flour beetle Tribolium castaneum, and the mungbean or cowpea beetle Callosobruchus maculatus, while other species of beetles are important controls of agricultural pests. For example, coccinellidae (""ladybirds"" or ""ladybugs"") consume aphids, scale insects, thrips, and other plant-sucking insects that damage crops.",not known to occur in the sea or in the polar regions,768d_top1_persona
160,Do beetles antennae function primarily as organs of smell?,"Beetles' antennae are primarily organs of smell, but may also be used to feel out a beetle's environment physically. They may also be used in some families during mating, or among a few beetles for defence. Antennae vary greatly in form within the Coleoptera, but are often similar within any given family. In some cases, males and females of the same species will have different antennal forms. Antennae may be clavate (flabellate and lamellate are sub-forms of clavate, or clubbed antennae), filiform, geniculate, moniliform, pectinate, or serrate. For images of these antennal forms see antenna (biology).","Beetles' antennae are primarily organs of smell, but may also be used to feel out a beetle's environment physically",768d_top1_persona
