id,question,context,answer,strategy
80,Who is most noted for his contributions to the theory of molarity and molecular weight?,"Lorenzo Romano Amedeo Carlo Avogadro, Count of Quaregna and Cerreto (August 9, 1776 July 9, 1856) was an Italian savant.  He is most noted for his contributions to the theory of molarity and molecular weight. As a tribute to him, the number of elementary entities (atoms, molecules, ions or other particles) in one mole of a substance, 6.02214199x10 23 , is known as Avogadro's number. Clausius, by his kinetic theory on gases, was able to give another confirmation of Avogadro's law. Not long after, in his researches regarding dilute solutions (and the consequent discovery of analogies between the behaviour of solutions and gases), J. H. van 't Hoff added his final consensus for the triumph of the Italian scientist, who since then has been considered the founder of the atomic-molecular theory. Avogadro developed this hypothesis after Joseph Louis Gay-Lussac had published in 1808 his law on volumes (and combining gases). The greatest difficulty Avogadro had to resolve was the huge confusion at that time regarding atoms and molecules   one of the most important contributions of Avogadro's work was clearly distinguishing one from the other, admitting that simple particles too could be composed of molecules, and that these are composed of atoms. For instance, John Dalton did not consider this possibility. Avogadro did not actually use the word ""atom"" as the words ""atom"" and ""molecule"" were used almost without difference. He considered that there were three kinds of ""molecules,"" including an ""elementary molecule"" (our ""atom""). Also, a keener attention was given to the definition of mass, as distinguished from weight. In 1821 he published another memoria, Nouvelles considérations sur la théorie des proportions déterminées dans les combinaisons, et sur la détermination des masses des molécules des corps and little after Mémoire sur la manière de ramener les composès organiques aux lois ordinaires des proportions déterminées. In 1814 he published Mémoire sur les masses relatives des molécules des corps simples, ou densités présumées de leur gaz, et sur la constitution de quelques-uns de leur composés, pour servir de suite à l'Essai sur le même sujet, publié dans le Journal de Physique, juillet 1811 (), about gas densities.","Lorenzo Romano Amedeo Carlo Avogadro, Count of Quaregna and Cerreto (August 9, 1776 July 9, 1856) was an Italian savant. He is most noted for his contributions to the theory of molarity and molecular weight. As a tribute to him, the number of elementary entities (atoms, molecules, ions or other particles) in one mole of a substance, 6.02214199x10 23 , is known as Avogadro's number. Clausius, by his kinetic theory on gases, was able to give another confirmation of Avogadro's law. Not long after, in his researches regarding dilute solutions (and the consequent discovery of analogies between the behaviour of solutions and gases), J. H. van 't Hoff added his final consensus for the triumph of the Italian",768d_top5_persona
83,Who graduated in ecclesiastical law at the early age of 20 and began to practice?,"He graduated in ecclesiastical law at  the early age of 20 and began to practice. He graduated Phi Beta Kappa and magna cum laude (22nd of 177) from Harvard in 1880, and entered Columbia Law School.  When offered a chance to run for New York Assemblyman in 1881, he dropped out of law school to pursue his new goal of entering public life. Brands, pp 123â29 Young Adams went to Harvard College at age sixteen (in 1751). MSN Encarta, John Adams  His father expected him to become a minister, but Adams had doubts.  After graduating in 1755, he taught school for a few years in Worcester, allowing himself time to think about his career choice.  After much reflection, he decided to become a lawyer, and studied law in the office of James Putnam, a prominent lawyer in Worcester. In 1758, he was admitted to the bar. From an early age, he developed the habit of writing descriptions of events and impressions of men.  These litter his diary.  He put the skill to good use as a lawyer, often recording cases he observed so that he could study and reflect upon them.  His report of the 1761 argument of James Otis in the superior court of Massachusetts as to the legality of Writs of Assistance is a good example. Otisâs argument inspired Adams with zeal for the cause of the American colonies.  Ferling (1992) ch 2 *In 1855, Fillmore, who had no classical education, refused an honorary doctorate of civil law from Oxford University claiming that he would not accept a degree he could not read.  It should be noted that most university diplomas were inscribed in Latin in those days.  In 1834, he won election to the state legislature, and after coming across the Commentaries on the Laws of England, began to teach himself law. Admitted to the bar in 1837, he moved to Springfield, Illinois, that same year and began to practice law with John T. Stuart. With a reputation as a formidable adversary during cross-examinations and in his closing arguments, Lincoln became one of the most respected and successful lawyers in Illinois and grew steadily more prosperous.",How many years after graduating from law school did John Adams drop out of law school to pursue his new goal of entering public life?,768d_top5_persona
86,When did he publish another memoria?,"Grant writing his memoirs. In 1821 he published another memoria, Nouvelles considérations sur la théorie des proportions déterminées dans les combinaisons, et sur la détermination des masses des molécules des corps and little after Mémoire sur la manière de ramener les composès organiques aux lois ordinaires des proportions déterminées. During his stay in Vercelli he wrote a concise note (memoria) in which he declared the hypothesis of what we now call Avogadro's law:  One document states that ""[he] is reported to have some 80 trunks in different places containing transcripts and plans having to do with his experiments [...]"". Charlotte Muzar reported that there were several ""missing"" papers and property. In 1841 he completed and published his work in Fisica dei corpi ponderabili, ossia Trattato della costituzione materiale de' corpi, 4 volumes.",1821,768d_top5_persona
89,When did he become a professor?,"In 1892, he became the third in his family to occupy the physics chair at the MusÃ©um National d'Histoire Naturelle. In 1894, he became chief engineer in the Department of Bridges and Highways. He graduated Phi Beta Kappa and magna cum laude (22nd of 177) from Harvard in 1880, and entered Columbia Law School.  When offered a chance to run for New York Assemblyman in 1881, he dropped out of law school to pursue his new goal of entering public life. Brands, pp 123â29 Soon there after he dedicated himself to the study of physics and mathematics (then called positive philosophy), and in 1809 started teaching them at a liceo (high school) in Vercelli (where his family had some properties). He was elected a member of the Royal Society in 1824, appointed director of the laboratory in 1825; and in 1833 he was appointed Fullerian professor of chemistry in the institution for life, without the obligation to deliver lectures. In 1820 he became a professor of physics at the University of Turin. (Note: After the downfall of Napoléon in 1815, northern Italy was under the rule of the Kingdom of Piedmont-Sardinia and Turin was the capital of this kingdom.)",1820,768d_top5_persona
92,Is it true that he became a professor in 1820?,"He was elected a member of the Royal Society in 1824, appointed director of the laboratory in 1825; and in 1833 he was appointed Fullerian professor of chemistry in the institution for life, without the obligation to deliver lectures. In 1892, he became the third in his family to occupy the physics chair at the MusÃ©um National d'Histoire Naturelle. In 1894, he became chief engineer in the Department of Bridges and Highways. In 1820 he became a professor of physics at the University of Turin. (Note: After the downfall of Napoléon in 1815, northern Italy was under the rule of the Kingdom of Piedmont-Sardinia and Turin was the capital of this kingdom.) He graduated Phi Beta Kappa and magna cum laude (22nd of 177) from Harvard in 1880, and entered Columbia Law School.  When offered a chance to run for New York Assemblyman in 1881, he dropped out of law school to pursue his new goal of entering public life. Brands, pp 123â29 Soon there after he dedicated himself to the study of physics and mathematics (then called positive philosophy), and in 1809 started teaching them at a liceo (high school) in Vercelli (where his family had some properties).",yes,768d_top5_persona
95,Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?,"Lorenzo Romano Amedeo Carlo Avogadro, Count of Quaregna and Cerreto (August 9, 1776 July 9, 1856) was an Italian savant.  He is most noted for his contributions to the theory of molarity and molecular weight. As a tribute to him, the number of elementary entities (atoms, molecules, ions or other particles) in one mole of a substance, 6.02214199x10 23 , is known as Avogadro's number. In 1911, a historic meeting took place in Turin to commemorate the hundredth anniversary of the publication of Avogadro's classic 1811 memoir. King Victor Emmanuel III was there to pay homage to Avogadro. Thus Avogadro's great contribution to chemistry was recognised and he is recognised as a great Italian chemist. (Note: In 1911, Victor Emmanuel III was the King of a unified Italy with Rome instead or Turin as its capital. The unification of Italy did not happen during the life time of Avogadro. In fact, Avogadro's famous 1811 paper was written in French.) In 1811, he published an article with the title Essai d'une manière de déterminer les masses relatives des molécules élémentaires des corps, et les proportions selon lesquelles elles entrent dans ces combinaisons, which contains the famous Avogadro's hypothesis. The title of this famous 1811 paper can be roughly translated into English as ""Essay on Determining the Relative Masses of the Elementary Molecules of Bodies"".  (Note: At that time in 1811, northern Italy was actually under French rule during the era of Napoléon Bonaparte. Avogadro submitted his poem to a French journal. This paper was written in French, not in Italian.) Amedeo Avogadro was born in Turin August 9th 1776 to a noble ancient family of Piedmont,  Italy. Caricature of Amedeo Avogadro",What is the occupation of Lorenzo Romano Amedeo Carlo Avogadro?,768d_top5_persona
98,"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?","Amedeo Avogadro was born in Turin August 9th 1776 to a noble ancient family of Piedmont,  Italy. In 1911, a historic meeting took place in Turin to commemorate the hundredth anniversary of the publication of Avogadro's classic 1811 memoir. King Victor Emmanuel III was there to pay homage to Avogadro. Thus Avogadro's great contribution to chemistry was recognised and he is recognised as a great Italian chemist. (Note: In 1911, Victor Emmanuel III was the King of a unified Italy with Rome instead or Turin as its capital. The unification of Italy did not happen during the life time of Avogadro. In fact, Avogadro's famous 1811 paper was written in French.) Very little is known about Avogadro's private life and political activity although he seems to have led a sober and religious life. He married Felicita Mazzé and had six children. Lorenzo Romano Amedeo Carlo Avogadro, Count of Quaregna and Cerreto (August 9, 1776 July 9, 1856) was an Italian savant.  He is most noted for his contributions to the theory of molarity and molecular weight. As a tribute to him, the number of elementary entities (atoms, molecules, ions or other particles) in one mole of a substance, 6.02214199x10 23 , is known as Avogadro's number. However over time, Avogadro's political isolation became less, as revolutionary ideas received increasing attention from Savoy kings, until in 1848 when Charles Albert granted a modern Constitution (Statuto Albertino). Well before this, following the increasing attention to his works, Avogadro had been recalled to Turin university in 1833, where he taught for another twenty years.",Yes,768d_top5_persona
101,Is he most noted for his contributions to the theory of molarity and molecular weight?,"Lorenzo Romano Amedeo Carlo Avogadro, Count of Quaregna and Cerreto (August 9, 1776 July 9, 1856) was an Italian savant.  He is most noted for his contributions to the theory of molarity and molecular weight. As a tribute to him, the number of elementary entities (atoms, molecules, ions or other particles) in one mole of a substance, 6.02214199x10 23 , is known as Avogadro's number. Clausius, by his kinetic theory on gases, was able to give another confirmation of Avogadro's law. Not long after, in his researches regarding dilute solutions (and the consequent discovery of analogies between the behaviour of solutions and gases), J. H. van 't Hoff added his final consensus for the triumph of the Italian scientist, who since then has been considered the founder of the atomic-molecular theory. In 1821 he published another memoria, Nouvelles considérations sur la théorie des proportions déterminées dans les combinaisons, et sur la détermination des masses des molécules des corps and little after Mémoire sur la manière de ramener les composès organiques aux lois ordinaires des proportions déterminées. In 1814 he published Mémoire sur les masses relatives des molécules des corps simples, ou densités présumées de leur gaz, et sur la constitution de quelques-uns de leur composés, pour servir de suite à l'Essai sur le même sujet, publié dans le Journal de Physique, juillet 1811 (), about gas densities. Avogadro developed this hypothesis after Joseph Louis Gay-Lussac had published in 1808 his law on volumes (and combining gases). The greatest difficulty Avogadro had to resolve was the huge confusion at that time regarding atoms and molecules   one of the most important contributions of Avogadro's work was clearly distinguishing one from the other, admitting that simple particles too could be composed of molecules, and that these are composed of atoms. For instance, John Dalton did not consider this possibility. Avogadro did not actually use the word ""atom"" as the words ""atom"" and ""molecule"" were used almost without difference. He considered that there were three kinds of ""molecules,"" including an ""elementary molecule"" (our ""atom""). Also, a keener attention was given to the definition of mass, as distinguished from weight.","Lorenzo Romano Amedeo Carlo Avogadro, Count of Quaregna and Cerreto",768d_top5_persona
115,Was King Victor Emmanuel III there to pay homage to Avogadro ?,"In 1911, a historic meeting took place in Turin to commemorate the hundredth anniversary of the publication of Avogadro's classic 1811 memoir. King Victor Emmanuel III was there to pay homage to Avogadro. Thus Avogadro's great contribution to chemistry was recognised and he is recognised as a great Italian chemist. (Note: In 1911, Victor Emmanuel III was the King of a unified Italy with Rome instead or Turin as its capital. The unification of Italy did not happen during the life time of Avogadro. In fact, Avogadro's famous 1811 paper was written in French.) Very little is known about Avogadro's private life and political activity although he seems to have led a sober and religious life. He married Felicita Mazzé and had six children. Amedeo Avogadro was born in Turin August 9th 1776 to a noble ancient family of Piedmont,  Italy. However over time, Avogadro's political isolation became less, as revolutionary ideas received increasing attention from Savoy kings, until in 1848 when Charles Albert granted a modern Constitution (Statuto Albertino). Well before this, following the increasing attention to his works, Avogadro had been recalled to Turin university in 1833, where he taught for another twenty years. Caricature of Amedeo Avogadro",King Victor Emmanuel III was there to pay homage to Avogadro. Thus Avogadro's great contribution to chemistry was recognised and he is recognised as a great Italian chemist.,768d_top5_persona
118,Is Avogadro 's number commonly used to compute the results of chemical reactions ?,"Loschmidt first calculated the value of Avogadro's number, now called Avogadro's constant, which is still sometimes referred to as the Loschmidt number in German-language countries (Loschmidt constant now has another meaning).  Avogadro's number is commonly used to compute the results of chemical reactions. It allows chemists to determine the exact amounts of substances produced in a given reaction. In honour of Avogadro's contributions to the theory of molarity and molecular weights, the number of molecules in one mole was renamed Avogadro's number, N A . It is approximately 6.0221415   10 23 . The scientific community did not reserve great attention to his theory, so Avogadro's hypothesis was not immediately accepted when announced. André-Marie Ampère too was able three years later to achieve the same result by another method (in his Sur la détermination des proportions dans lesquelles les corps se combinent d'après le nombre et la disposition respective des molécules dont leurs particules intégrantes sont composées), but the same indifferent regard was given to his theories as well. Lorenzo Romano Amedeo Carlo Avogadro, Count of Quaregna and Cerreto (August 9, 1776 July 9, 1856) was an Italian savant.  He is most noted for his contributions to the theory of molarity and molecular weight. As a tribute to him, the number of elementary entities (atoms, molecules, ions or other particles) in one mole of a substance, 6.02214199x10 23 , is known as Avogadro's number. Only with studies by Gerhardt, Laurent and Williamson on organic chemistry, was it possible to demonstrate that Avogadro's law was indispensable to explain why same quantities of molecules, brought to a vapour state, have the same volume.",Avogadro's number is commonly used to compute the results of chemical reactions.,768d_top5_persona
123,Did the scientific community not reserve great attention to his theory ?,"The theory was never published. At the time of his announcement, it was considered by the scientific establishment to exceed the bounds of reason. Some believe that Tesla never fully developed the Unified Field Theory. In the years after, many of his innovations, theories and claims have been used, at times unsuitably and with some controversy, to support various fringe theories that are regarded as unscientific. Most of Tesla's own work conformed with the principles and methods accepted by science, but his extravagant personality and sometimes unrealistic claims, combined with his unquestionable genius, have made him a popular figure among fringe theorists and believers in conspiracies about 'hidden knowledge'. Some conspiracy theorists even in his time believed that he was actually an angelic being from Venus sent to Earth to reveal scientific knowledge to humanity. The scientific community did not reserve great attention to his theory, so Avogadro's hypothesis was not immediately accepted when announced. André-Marie Ampère too was able three years later to achieve the same result by another method (in his Sur la détermination des proportions dans lesquelles les corps se combinent d'après le nombre et la disposition respective des molécules dont leurs particules intégrantes sont composées), but the same indifferent regard was given to his theories as well. * ""If you would cause your view ... to be acknowledged by scientific men; you would do a great service to science. If you would even get them to say yes or no to your conclusions it would help to clear the future progress. I believe some hesitate because they do not like their thoughts disturbed."" From Life and Letters, 2:389. In his Hypothesis of Light of 1675, Newton posited the existence of the ether to transmit forces between particles. The contact with the theosophist Henry More, revived his interest in alchemy. He replaced the ether with occult forces based on Hermetic ideas of attraction and repulsion between particles. John Maynard Keynes, who acquired many of Newton's writings on alchemy, stated that ""Newton was not the first of the age of reason: he was the last of the magicians.""    Newton's interest in alchemy cannot be isolated from his contributions to science.   notes that Newton apparently abandoned his alchemical researches.  (This was at a time when there was no clear distinction between alchemy and science.) Had he not relied on the occult idea of action at a distance, across a vacuum, he might not have developed his theory of gravity. (See also Isaac Newton's occult studies.)","In his Hypothesis of Light of 1675, Newton posited the existence of the ether to transmit forces between particles. The contact with the theosophist Henry More, revived his interest in alchemy. He replaced the ether with occult forces based on Hermetic ideas of attraction and repulsion between particles. John Maynard Keynes, who acquired many of Newton's writings on alchemy, stated that ""Newton was not the first of the age of reason: he was the last of the magicians.""",768d_top5_persona
131,Can the title of this famous 1811 paper be roughly translated into english?,"* Davidson, Hugh M. Blaise Pascal. Boston: Twayne Publishers, 1983. - SeptiÃ¨me MÃ©moire. ""On magnetism"" (1789) *J. P. Muirhead, Life of Watt (London, 1858).   *""Some Unpublished Letters of James Watt"" in Journal of Institution of Mechanical Engineers (London, 1915).   * Dampier, William C. & M. Dampier. Readings in the Literature of Science. Harper & Row, New York, (1959).",Yes,768d_top5_persona
136,What happened in 1833?,"Grant's second inauguration as President by Chief Justice Salmon P. Chase on March 4, 1873. The Resumption of Species Act of 1875 which was signed by Grant and helped to end the crisis in 1879 when the law came in to effect and issued its first coins and notes.    * Ferling, John. Adams vs. Jefferson: The Tumultuous Election of 1800. (2004), narrative history of the election . These ""good feelings"" endured until 1824, when he executed the controversial Monroe Transfer. Monroe, with his popularity undiminished, followed nationalist policies. Across the commitment to nationalism, sectional cracks appeared. The Panic of 1819 caused a painful economic depression. The application for statehood by the Missouri Territory, in 1819, as a slave state failed. An amended bill for gradually eliminating slavery in Missouri precipitated two years of bitter debate in Congress. The Missouri Compromise bill resolved the struggle, pairing Missouri as a slave state with Maine, a free state, and barring slavery north and west of Missouri forever.","Grant's second inauguration as President by Chief Justice Salmon P. Chase on March 4, 1873.",768d_top5_persona
139,Who determined the dependence of the boiling of water with atmospheric pressure?,"Anders Celsius was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds. In his Swedish paper ""Observations of two persistent degrees on a thermometer"" he reports on experiments to check that the freezing point is independent of latitude (and of atmospheric pressure). He determined the dependence of the boiling of water with atmospheric pressure (in excellent agreement with modern data). He further gave a rule for the determination of the boiling point if the barometric pressure deviates from a certain standard pressure  History of the Celsius temperature scale . Four years after opening his shop, Watt began to experiment with steam after his friend, Professor John Robison, called his attention to it.  At this point Watt had still never seen an operating steam engine, but he tried constructing a model.  It failed to work satisfactorily, but he continued his experiments and began to read everything about it he could.  He independently discovered the importance of latent heat in understanding the engine, which, unknown to him, Black had famously discovered some years before.  He learned that the University owned a model Newcomen engine, but it was in London for repairs.  Watt got the university to have it returned, and he made the repairs in 1763.  It too just barely worked, and after much experimentation he showed that about 80% of the heat of the steam was consumed in heating the cylinder, because the steam in it was condensed by an injected stream of cold water. His critical insight, to cause the steam to condense in a separate chamber apart from the piston, and to maintain the temperature of the cylinder at the same temperature as the injected steam, came finally in 1765 and he soon had a working model. Clausius, by his kinetic theory on gases, was able to give another confirmation of Avogadro's law. Not long after, in his researches regarding dilute solutions (and the consequent discovery of analogies between the behaviour of solutions and gases), J. H. van 't Hoff added his final consensus for the triumph of the Italian scientist, who since then has been considered the founder of the atomic-molecular theory. Celsius founded the Uppsala Astronomical Observatory in 1741, and in 1742 he proposed the Celsius temperature scale in a paper to the Royal Swedish Academy of Sciences. His thermometer had 100 for the freezing point of water and 0 for the boiling point. The scale was reversed by Carolus Linnaeus in 1745, to how it is today  Linnaeus' thermometer . Following more experimentation in this vein, in 1647 Pascal produced Experiences nouvelles touchant le vide (""New Experiments with the Vacuum""), which detailed basic rules describing to what degree various liquids could be supported by air pressure. It also provided reasons why it was indeed a vacuum above the column of liquid in a barometer tube.","Anders Celsius was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds. In his Swedish paper ""Observations of two persistent degrees on a thermometer"" he reports on experiments to check that the freezing point is independent of latitude (and of atmospheric pressure). He determined the dependence of the boiling of water with atmospheric pressure (in excellent agreement with modern data). He further gave a rule for the determination of the boiling point if the barometric pressure deviates from a certain standard pressure History of the Celsius temperature scale . Four years after opening his shop, Watt began to experiment with steam after his friend, Professor John Robison, called his attention to it. At this point Watt had still never seen an operating steam engine, but he tried constructing a model. It failed to work satisfactorily, but he continued his experiments and began to read everything about it he could.",768d_top5_persona
140,What is named after him?,"The Celsius crater on the Moon is named after him. ;Origin and history of the name #He is the only president to have a famous toy named after him (the Teddy bear, named after a bear he refused to shoot in a 1902 hunt in Mississipi). Jacques Cartier John Adams, as depicted on a two-cent American president postage stamp.",The Celsius crater on the Moon,768d_top5_persona
141,When did he publish a collection?,"He was a long-time correspondent of the Royal Society and was made a fellow (FRS). He received the Society's 1794 Copley Medal. He published his invention of the Voltaic pile battery in 1800 in the Philosophical Transactions of the Royal Society. He was in correspondence with scientists in Austria, which ruled Lombardy in his day, and in France. His 1800 paper was written in French. *Putnam, Carleton Theodore Roosevelt: A Biography, Volume I: The Formative Years (1958), only volume published, to age 28. * The  John Adams Library, housed at the Boston Public Library, contains Adams's personal collection of more than 3,500 volumes in eight languages, many of which are extensively annotated by Adams. In 1841 he completed and published his work in Fisica dei corpi ponderabili, ossia Trattato della costituzione materiale de' corpi, 4 volumes. Isaac Newton in 1712. Portrait by Sir James Thornhill.","In 1841 he completed and published his work in Fisica dei corpi ponderabili, ossia Trattato della costituzione materiale de' corpi, 4 volumes.",768d_top5_persona
142,Is it true that he published a collection in 1738?,"He was a long-time correspondent of the Royal Society and was made a fellow (FRS). He received the Society's 1794 Copley Medal. He published his invention of the Voltaic pile battery in 1800 in the Philosophical Transactions of the Royal Society. He was in correspondence with scientists in Austria, which ruled Lombardy in his day, and in France. His 1800 paper was written in French. In the 1690s Newton wrote a number of religious tracts dealing with the literal interpretation of the Bible. Henry More's belief in the universe and rejection of Cartesian dualism may have influenced Newton's religious ideas. A manuscript he sent to John Locke in which he disputed the existence of the Trinity was never published. Later works â The Chronology of Ancient Kingdoms Amended (1728) and Observations Upon the Prophecies of Daniel and the Apocalypse of St. John (1733) â were published after his death. He also devoted a great deal of time to alchemy (see above). Isaac Newton in 1712. Portrait by Sir James Thornhill. * The  John Adams Library, housed at the Boston Public Library, contains Adams's personal collection of more than 3,500 volumes in eight languages, many of which are extensively annotated by Adams. Faraday's books, with the exception of Chemical Manipulation, were collections of scientific papers or transcriptions of lectures. See page 220 of Hamilton's A Life of Discovery: Michael Faraday, Giant of the Scientific Revolution (2002)   Since his death, Faraday's diary has been published, as have several large volumes of his letters and Faraday's journal from his travels with Davy in 1813 - 1815.",No,768d_top5_persona
143,Is it true that thermometer had 100 for the freezing point?,"Celsius founded the Uppsala Astronomical Observatory in 1741, and in 1742 he proposed the Celsius temperature scale in a paper to the Royal Swedish Academy of Sciences. His thermometer had 100 for the freezing point of water and 0 for the boiling point. The scale was reversed by Carolus Linnaeus in 1745, to how it is today  Linnaeus' thermometer . Anders Celsius was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds. In his Swedish paper ""Observations of two persistent degrees on a thermometer"" he reports on experiments to check that the freezing point is independent of latitude (and of atmospheric pressure). He determined the dependence of the boiling of water with atmospheric pressure (in excellent agreement with modern data). He further gave a rule for the determination of the boiling point if the barometric pressure deviates from a certain standard pressure  History of the Celsius temperature scale . Anders Celsius The observatory of Anders Celsius, from a contemporary engraving. Anders Celsius (November 27, 1701   April 25, 1744) was a Swedish astronomer.",yes,768d_top5_persona
144,Was Celsius born in Uppsala in Sweden?,"Celsius was born in Uppsala in Sweden. He was professor of astronomy at Uppsala University from 1730 to 1744, but traveled from 1732 to 1735 visiting notable observatories in Germany, Italy and France. Anders Celsius (November 27, 1701   April 25, 1744) was a Swedish astronomer. Anders Celsius Celsius founded the Uppsala Astronomical Observatory in 1741, and in 1742 he proposed the Celsius temperature scale in a paper to the Royal Swedish Academy of Sciences. His thermometer had 100 for the freezing point of water and 0 for the boiling point. The scale was reversed by Carolus Linnaeus in 1745, to how it is today  Linnaeus' thermometer . Anders Celsius was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds. In his Swedish paper ""Observations of two persistent degrees on a thermometer"" he reports on experiments to check that the freezing point is independent of latitude (and of atmospheric pressure). He determined the dependence of the boiling of water with atmospheric pressure (in excellent agreement with modern data). He further gave a rule for the determination of the boiling point if the barometric pressure deviates from a certain standard pressure  History of the Celsius temperature scale .","He was professor of astronomy at Uppsala University from 1730 to 1744, but traveled from 1732 to 1735 visiting notable observatories in Germany, Italy and France. Anders Celsius (November 27, 1701 April 25, 1744) was a Swedish astronomer.",768d_top5_persona
145,"Was Anders Celsius (November 27, 1701 April 25, 1744) a Swedish astronomer?","Anders Celsius (November 27, 1701   April 25, 1744) was a Swedish astronomer. Celsius was born in Uppsala in Sweden. He was professor of astronomy at Uppsala University from 1730 to 1744, but traveled from 1732 to 1735 visiting notable observatories in Germany, Italy and France. Celsius founded the Uppsala Astronomical Observatory in 1741, and in 1742 he proposed the Celsius temperature scale in a paper to the Royal Swedish Academy of Sciences. His thermometer had 100 for the freezing point of water and 0 for the boiling point. The scale was reversed by Carolus Linnaeus in 1745, to how it is today  Linnaeus' thermometer . The observatory of Anders Celsius, from a contemporary engraving. Anders Celsius was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds. In his Swedish paper ""Observations of two persistent degrees on a thermometer"" he reports on experiments to check that the freezing point is independent of latitude (and of atmospheric pressure). He determined the dependence of the boiling of water with atmospheric pressure (in excellent agreement with modern data). He further gave a rule for the determination of the boiling point if the barometric pressure deviates from a certain standard pressure  History of the Celsius temperature scale .",Yes,768d_top5_persona
146,Is The Celsius crater on the Moon named after him?,"The Celsius crater on the Moon is named after him. The Tesla crater on the far side of the Moon and the minor planet 2244 Tesla are also named after him. The SI unit for radioactivity, the becquerel (Bq), is named after him, and there is a Becquerel crater on the Moon and a Becquerel crater on Mars. * ""Gazetteer of Planetary Nomenclature"",  Moon Nomenclature: Crater. USGS, Astrogeology Research Program. The former UK Faraday Atmospheric Research Station in Antarctica was named after him.",yes,768d_top5_persona
147,Who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?,"Anders Celsius was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds. In his Swedish paper ""Observations of two persistent degrees on a thermometer"" he reports on experiments to check that the freezing point is independent of latitude (and of atmospheric pressure). He determined the dependence of the boiling of water with atmospheric pressure (in excellent agreement with modern data). He further gave a rule for the determination of the boiling point if the barometric pressure deviates from a certain standard pressure  History of the Celsius temperature scale . Celsius founded the Uppsala Astronomical Observatory in 1741, and in 1742 he proposed the Celsius temperature scale in a paper to the Royal Swedish Academy of Sciences. His thermometer had 100 for the freezing point of water and 0 for the boiling point. The scale was reversed by Carolus Linnaeus in 1745, to how it is today  Linnaeus' thermometer . Anders Celsius Anders Celsius (November 27, 1701   April 25, 1744) was a Swedish astronomer. Celsius was born in Uppsala in Sweden. He was professor of astronomy at Uppsala University from 1730 to 1744, but traveled from 1732 to 1735 visiting notable observatories in Germany, Italy and France.",Anders Celsius,768d_top5_persona
148,The Celsius crater on the Moon is what?,"The Celsius crater on the Moon is named after him. * ""Gazetteer of Planetary Nomenclature"",  Moon Nomenclature: Crater. USGS, Astrogeology Research Program. The observatory of Anders Celsius, from a contemporary engraving. The Tesla crater on the far side of the Moon and the minor planet 2244 Tesla are also named after him. The SI unit for radioactivity, the becquerel (Bq), is named after him, and there is a Becquerel crater on the Moon and a Becquerel crater on Mars.",named after him,768d_top5_persona
149,Is the Celsius crater on the Moon named after him ?,"The Celsius crater on the Moon is named after him. The Tesla crater on the far side of the Moon and the minor planet 2244 Tesla are also named after him. The SI unit for radioactivity, the becquerel (Bq), is named after him, and there is a Becquerel crater on the Moon and a Becquerel crater on Mars. * ""Gazetteer of Planetary Nomenclature"",  Moon Nomenclature: Crater. USGS, Astrogeology Research Program. The former UK Faraday Atmospheric Research Station in Antarctica was named after him.","The Celsius crater on the Moon is named after him. The Tesla crater on the far side of the Moon and the minor planet 2244 Tesla are also named after him. The SI unit for radioactivity, the becquerel (Bq), is named after him, and there is a Becquerel crater on the Moon and a Becquerel crater on Mars. * ""Gazetteer of Planetary Nomenclature"", Moon Nomenclature: Crater. USGS, Astrogeology Research Program. The former UK Faraday Atmospheric Research Station in Antarctica was named after him.",768d_top5_persona
